创建时间,企业名称,设备名称,出口voc,出口voc前一小时平均值,进口voc,进口voc前一小时平均值,氧气,风管内温度值,风管内湿度值,风管内风速值,出口风压值,进口风压值,风管压差,进口产生量kg,出口排放量kg,处理效率,风量,进口0出口1
2025/7/11 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.76,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.56,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.39,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.22,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.46,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:59,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.50,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.56,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.61,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.62,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.66,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.69,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:58,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.73,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.62,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.60,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.67,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.66,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.27,69.67,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:57,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.27,69.66,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:56,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.28,69.55,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:56,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.28,69.58,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:56,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.48,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:56,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.27,69.48,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:56,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.51,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:56,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.66,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:55,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.66,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:55,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.62,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:55,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.28,69.57,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:55,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.49,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:55,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.46,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:55,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.45,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:54,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.44,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:54,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.51,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:54,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.48,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
