创建时间,出口voc,出口voc前一小时平均值,进口voc,进口voc前一小时平均值,进口0出口1,数据类型,整体处理效率,企业名称,设备名称,氧气,风管内温度值,风管内湿度值,风管内风速值,出口风压值,进口风压值,风管压差,进口产生量kg,出口排放量kg,风量,处理效率
2025-07-24 14:00:07,0.0,0.1850924496224647,71.77436545074889,75.4500119292889,0,进口浓度,0.0,连微,抽气式东星行测试,,33.142307510792634,60.498873457251285,11.982400390508449,100.2,100.6,-0.4,0.0,0.0,12122.637421903972,
2025-07-24 14:02:05,5.95263784623929,0.1622561114723842,0.0,69.03340743279416,1,出口浓度,0.0,连微,抽气式东星行测试,,33.78044477096982,55.52674444662839,12.363858520501276,100.2,100.6,-0.4,0.0,0.0,12845.5212189747,77.98969430249926
2025-07-24 14:05:35,0.1026326607584482,-2.160365530103573,0.0,63.32928471982348,1,出口浓度,0.0,连微,抽气式东星行测试,,35.56532672941555,60.10817230451875,12.423618208014425,100.2,100.6,-0.4,0.0,0.0,12927.324456723178,85.94250056410041
2025-07-24 14:06:29,0.0,0.4350229806972031,88.59045714114065,66.69998535852586,0,进口浓度,0.0,连微,抽气式东星行测试,,32.80392148471074,55.83326123223019,12.580746121615498,100.2,100.6,-0.4,0.0,0.0,12026.284026808264,
2025-07-24 14:13:26,0.0,0.5027826193212005,88.53338190148438,73.17800631148828,0,进口浓度,0.0,连微,抽气式东星行测试,,35.293357598033566,55.44250427746744,12.944759463027532,100.2,100.6,-0.4,0.0,0.0,12642.33858938638,
2025-07-24 14:14:59,0.0,1.1204359625983238,75.67494383884946,68.93150861476829,0,进口浓度,0.0,连微,抽气式东星行测试,,35.511840606601645,59.68157757302985,12.279587858733326,100.2,100.6,-0.4,0.0,0.0,12181.963136552138,
2025-07-24 14:17:02,7.293484343466058,0.0457097188918494,0.0,69.22593927536468,1,出口浓度,0.0,连微,抽气式东星行测试,,32.22165140007111,55.74496672383408,11.306030933620402,100.2,100.6,-0.4,0.0,0.0,12164.657079890125,78.0665187788639
2025-07-24 14:20:14,4.066644233651332,-0.4738615059487616,0.0,69.70900781911904,1,出口浓度,0.0,连微,抽气式东星行测试,,35.5797036672845,60.0756022369352,11.501210617964,100.2,100.6,-0.4,0.0,0.0,12635.057091387744,83.7710353870785
2025-07-24 14:21:32,0.0,-0.3887015755644957,69.61284038680881,70.8211411054251,0,进口浓度,0.0,连微,抽气式东星行测试,,34.01029257896505,56.01181541048624,12.883213975737192,100.2,100.6,-0.4,0.0,0.0,12154.194266879564,
2025-07-24 16:27:27,0.0,4.0384009806571015,75.76724591344843,76.11523576311555,0,进口浓度,1.7,连微,抽气式东星行测试,,35.21875261686293,59.10994504717406,11.594867742859485,100.2,100.6,-0.4,0.0,0.0,12072.973025505346,
2025-07-24 16:27:57,0.1054571893110913,2.125908337966883,0.0,67.55760704292786,1,出口浓度,1.7,连微,抽气式东星行测试,,32.816092054253595,58.63996157692382,11.625164998493863,100.2,100.6,-0.4,0.0,0.0,12718.362885112438,88.35499387011367
2025-07-24 16:30:36,0.0,0.5990469110817678,77.6691917899068,74.18790763106038,0,进口浓度,1.7,连微,抽气式东星行测试,,33.536599334006425,58.69226466498381,11.496540560762371,100.2,100.6,-0.4,0.0,0.0,12865.307501720716,
2025-07-24 16:30:43,0.0987878288553612,1.4528902632515868,0.0,69.05258156750766,1,出口浓度,1.7,连微,抽气式东星行测试,,33.25085968344909,59.57872825083177,11.996531084119818,100.2,100.6,-0.4,0.0,0.0,12514.724839231483,82.46899270994135
2025-07-24 16:34:43,0.0,0.3045054937048861,77.81759656880604,80.73811562205373,0,进口浓度,1.7,连微,抽气式东星行测试,,34.021777852095084,60.800119783314855,11.430288845052482,100.2,100.6,-0.4,0.0,0.0,12352.895088856356,
2025-07-24 16:36:04,0.0,2.1913771149401877,74.56373651970006,80.10918234504337,0,进口浓度,1.7,连微,抽气式东星行测试,,34.61704014755847,57.82352112020917,12.073381498577854,100.2,100.6,-0.4,0.0,0.0,12847.172365393468,
2025-07-24 16:37:59,1.7502654370214867,4.783009723955974,0.0,71.44971797496038,1,出口浓度,1.7,连微,抽气式东星行测试,,35.05542705664796,57.195624115105375,11.801163242029514,100.2,100.6,-0.4,0.0,0.0,12570.28164388103,74.86638254719298
2025-07-24 16:40:04,3.5313696717105345,-0.0705341630985318,0.0,67.87767742718138,1,出口浓度,1.7,连微,抽气式东星行测试,,35.05761645882896,56.67832406574389,12.978181401241445,100.2,100.6,-0.4,0.0,0.0,12680.39864011886,72.97027549308974
2025-07-24 16:40:17,0.0,1.7874151517539103,101.10826801206191,79.23475986517082,0,进口浓度,1.7,连微,抽气式东星行测试,,33.35634119981026,60.63369140173225,12.509930344585587,100.2,100.6,-0.4,0.0,0.0,12199.05788155245,
2025-07-24 16:42:47,0.0,2.2121119151220574,82.69419299399692,71.7388211060321,0,进口浓度,1.7,连微,抽气式东星行测试,,32.54814549427008,56.998244232116605,11.94748830079038,100.2,100.6,-0.4,0.0,0.0,12456.988559282874,
2025-07-24 16:43:50,4.137188110955788,2.5813097313279405,0.0,65.05704252339453,1,出口浓度,1.7,连微,抽气式东星行测试,,34.452272484258714,55.97501227526163,12.98123147512228,100.2,100.6,-0.4,0.0,0.0,12739.319360573603,77.48085856320796
2025-07-24 16:45:58,0.0,3.524957844668985,81.30592710703439,76.60918588012012,0,进口浓度,1.7,连微,抽气式东星行测试,,34.83495922574175,56.79874338842448,12.631497666487649,100.2,100.6,-0.4,0.0,0.0,12368.357809865767,
2025-07-24 18:11:22,0.0,3.941366779793326,86.5919084781556,80.10444384635409,0,进口浓度,1.7,连微,抽气式东星行测试,,32.591102833201326,59.08436137030407,11.0631410266842,100.2,100.6,-0.4,0.0,0.0,12948.205170784302,
2025-07-24 18:13:10,0.1063501120994658,1.0088507075522646,0.0,65.19043315448609,1,出口浓度,1.7,连微,抽气式东星行测试,,32.60572503247738,59.14300156551116,11.82075481864541,100.2,100.6,-0.4,0.0,0.0,12774.97230180709,93.01302374743028
2025-07-24 18:14:32,10.71318540327338,5.310250130124677,0.0,61.167853995583314,1,出口浓度,1.7,连微,抽气式东星行测试,,32.55232994314084,56.244050229827465,11.650099068852109,100.2,100.6,-0.4,0.0,0.0,12662.22679971435,83.13692878500089
2025-07-24 18:15:06,0.0,2.155153253218279,83.29879967708898,80.81401420601155,0,进口浓度,1.7,连微,抽气式东星行测试,,33.369308070727385,57.12572193186888,12.543979568297482,100.2,100.6,-0.4,0.0,0.0,12720.924561327292,
2025-07-24 18:22:28,0.0,2.618440107403068,82.18106310641868,73.76555054531785,0,进口浓度,1.7,连微,抽气式东星行测试,,34.81995303896079,56.90224447011069,11.697606348402614,100.2,100.6,-0.4,0.0,0.0,12933.7003747708,
2025-07-24 18:23:48,0.0,2.5562537048106604,90.356617909127,72.9115136540986,0,进口浓度,1.7,连微,抽气式东星行测试,,34.706488983130185,57.27816511224629,12.960321074642724,100.2,100.6,-0.4,0.0,0.0,12818.377460130563,
2025-07-24 18:25:52,11.158690058331633,5.7229215062520105,0.0,64.81859585123937,1,出口浓度,1.7,连微,抽气式东星行测试,,33.15052136645656,59.28484772499037,11.692727028191232,100.2,100.6,-0.4,0.0,0.0,12442.376111864836,76.41109938683705
2025-07-24 18:29:49,0.0,4.141759417361384,75.87309181893849,77.00318749409944,0,进口浓度,1.7,连微,抽气式东星行测试,,34.55177829363455,55.31494664103678,11.826602732096518,100.2,100.6,-0.4,0.0,0.0,12717.358056250245,
2025-07-24 18:31:21,0.0,4.545487790182085,71.23454484494245,71.74458706084275,0,进口浓度,1.7,连微,抽气式东星行测试,,34.20141026311847,60.574598081019865,11.813814903093768,100.2,100.6,-0.4,0.0,0.0,12935.032098596152,
2025-07-24 18:31:46,9.364916727299846,3.759917625157968,0.0,63.36264901403403,1,出口浓度,1.7,连微,抽气式东星行测试,,35.85565615556374,56.927006212715,12.29179583578054,100.2,100.6,-0.4,0.0,0.0,12907.936958735623,72.23651801278791
2025-07-24 19:45:58,0.0,3.201282057994434,91.35278058442093,78.26199751469952,0,进口浓度,1.8,连微,抽气式东星行测试,,35.50697267167169,55.0556030108806,12.13592373732899,100.2,100.6,-0.4,0.0,0.0,12107.300690773538,
2025-07-24 19:46:23,9.750290077936247,0.2292210189689747,0.0,73.60479199762854,1,出口浓度,1.8,连微,抽气式东星行测试,,34.1732019342279,57.96347452205092,12.877121003481744,100.2,100.6,-0.4,0.0,0.0,12851.059738577997,81.70051922515725
2025-07-24 19:52:36,0.0945370106729217,-0.802268329010376,0.0,60.37910867684479,1,出口浓度,1.8,连微,抽气式东星行测试,,33.835657884129446,56.54358928137712,11.372398138256136,100.2,100.6,-0.4,0.0,0.0,12736.617895492256,89.7691916106314
2025-07-24 19:53:08,0.0,2.381887538691309,84.91542114244123,70.75654967411973,0,进口浓度,1.8,连微,抽气式东星行测试,,35.42458601709383,60.38225657070385,12.65397965055262,100.2,100.6,-0.4,0.0,0.0,12515.280658959797,
2025-07-24 19:59:29,0.0967087318838394,2.5373862253284227,0.0,60.735699692966406,1,出口浓度,1.8,连微,抽气式东星行测试,,32.5624475025372,56.941610020510495,11.49609416733429,100.2,100.6,-0.4,0.0,0.0,12260.785277065444,75.88803132003835
2025-07-24 20:03:11,0.0,3.1688958282807143,87.36126652848934,72.02105893265123,0,进口浓度,1.8,连微,抽气式东星行测试,,34.89153011360399,55.06861440516501,12.307366734140398,100.2,100.6,-0.4,0.0,0.0,12692.768590422738,
2025-07-24 20:04:09,0.0,-0.1743440711230455,72.35582123768717,72.06966395577128,0,进口浓度,1.8,连微,抽气式东星行测试,,33.62166645187359,58.01512282743034,12.790236739632508,100.2,100.6,-0.4,0.0,0.0,12703.557035102256,
2025-07-24 20:07:55,0.0937811165589374,-0.7736544200626452,0.0,72.43728664981913,1,出口浓度,1.8,连微,抽气式东星行测试,,33.18015040062499,58.68775268886309,11.438257201870687,100.2,100.6,-0.4,0.0,0.0,12133.568782196804,73.82963911722948
2025-07-24 21:38:39,0.0,3.378121041435937,93.730385873428,75.71040839273961,0,进口浓度,1.8,连微,抽气式东星行测试,,34.146640633042225,55.98722293949653,12.708972014789902,100.2,100.6,-0.4,0.0,0.0,12441.84055265963,
2025-07-24 21:41:13,5.260167096408038,3.2888972476201914,0.0,69.7668835609196,1,出口浓度,1.8,连微,抽气式东星行测试,,35.59555740685389,57.672896153123325,11.11127161165226,100.2,100.6,-0.4,0.0,0.0,12131.9443398211,80.3856143461165
2025-07-24 21:44:12,0.0,1.4613579395912035,77.03769545609723,80.6926893840449,0,进口浓度,1.8,连微,抽气式东星行测试,,34.16465401631962,55.36153378790242,12.788436890676902,100.2,100.6,-0.4,0.0,0.0,12986.137248082276,
2025-07-24 21:46:00,1.589813219159519,0.7099336918842116,0.0,64.82533732083189,1,出口浓度,1.8,连微,抽气式东星行测试,,32.54171546595775,58.84915000103414,12.458578998534096,100.2,100.6,-0.4,0.0,0.0,12963.78256693752,79.36152301595669
2025-07-24 21:47:28,0.0,1.5607169311274462,95.9433347937038,82.85999136989041,0,进口浓度,1.8,连微,抽气式东星行测试,,33.5099853985204,55.4814999557762,12.928288752761372,100.2,100.6,-0.4,0.0,0.0,12874.553721690923,
2025-07-24 21:48:51,0.0,3.207714724985188,76.63430574422561,74.87517227592589,0,进口浓度,1.8,连微,抽气式东星行测试,,35.971387104310345,57.35835179070425,11.254694174645216,100.2,100.6,-0.4,0.0,0.0,12978.724377026336,
2025-07-24 21:50:14,7.5733653327853,3.5244659396898843,0.0,77.60148701448678,1,出口浓度,1.8,连微,抽气式东星行测试,,33.85201560477912,59.31456385006511,11.848256059466802,100.2,100.6,-0.4,0.0,0.0,12379.276468033791,75.74160166969747
2025-07-24 21:52:42,1.6262332149324277,-0.0818823102411052,0.0,64.96132331140844,1,出口浓度,1.8,连微,抽气式东星行测试,,35.50083269849491,59.5929395755907,11.064434629819962,100.2,100.6,-0.4,0.0,0.0,12660.197685802286,85.37308018022281
2025-07-24 21:53:22,0.0,3.3227337683078675,100.85367032218072,76.09550354450525,0,进口浓度,1.8,连微,抽气式东星行测试,,32.26916361155798,58.56366488487615,11.892882132497204,100.2,100.6,-0.4,0.0,0.0,12672.023636872218,
2025-07-24 21:55:06,0.0,0.745505005350273,95.8572189951394,74.13120790363311,0,进口浓度,1.8,连微,抽气式东星行测试,,33.75585124594984,58.23855885344457,12.508771417494568,100.2,100.6,-0.4,0.0,0.0,12776.0636214647,
