数据时间,入炉垃圾量,系统时间年,系统时间月,系统时间日,系统时间小时,系统时间分钟,系统时间秒,推料器A位置,推料器B位置,一次风机频率反馈,一次风机电流反馈,A辅助燃烧器运行信号,B辅助燃烧器运行信号,上部烟气温度左,上部烟气温度中,上部烟气温度右,中部烟气温度左,中部烟气温度中,中部烟气温度右,下部烟气温度左,下部烟气温度中,下部烟气温度右,引风机变频器频率反馈,引风机入口调节风门位置反馈,消石灰累计,1#消石灰输送风机运行信号,备用消石灰输送风机运行信号,雾化器浆液流量,省煤器出口温度,反应塔温度,雾化器电流,减湿液PH值,湿法烧碱供应流量,湿法洗涤塔温度,SNCR分配柜氨水流量,SNCR-A氨水供应泵运行信号,SNCR-B氨水供应泵运行信号,NH3浓度,1#SCR氨水流量,SCR系统温度,SCR-A氨水供应泵运行信号,SCR-B氨水供应泵运行信号,活性炭称重累计,1#活性炭输送风机运行信号,备用活性炭输送风机运行信号,除尘器差压,除尘器灰斗温度,烟气温度,烟气压力,烟气含水量,烟气氧量,烟气烟尘,SO2浓度,NOX浓度,CO浓度,HCL浓度,烟气流速
2024-11-03 00:00:00,537555.75,2024.00,11.00,2.00,23.00,53.00,45.00,13.20,28.04,0.05,-4.26,0.00,0.00,18.70,20.57,20.10,19.36,19.26,18.89,19.17,18.61,18.89,15.22,98.65,285.37,0.00,0.00,0.00,24.14,30.92,-3.75,8.06,-0.21,24.79,-0.44,0.00,0.00,0.01,-0.52,21.96,0.00,0.00,229689.52,0.00,0.00,260.76,27.12,28.12,-0.11,0.51,19.26,0.75,0.00,3.79,0.23,0.66,6.20
2024-11-03 00:02:00,537555.75,2024.00,11.00,2.00,23.00,55.00,46.00,13.46,28.24,0.05,0.68,0.00,0.00,18.80,20.47,20.01,19.26,19.08,18.80,19.08,18.52,18.89,15.23,98.69,285.37,0.00,0.00,-0.01,24.12,30.91,-3.75,8.05,-0.21,24.79,-0.37,0.00,0.00,0.00,-0.49,21.96,0.00,0.00,229689.52,0.00,0.00,250.07,27.10,28.12,-0.10,0.51,19.23,0.70,0.01,2.55,0.20,0.34,6.47
2024-11-03 00:04:00,537555.75,2024.00,11.00,2.00,23.00,57.00,47.00,13.72,28.29,0.06,-1.94,0.00,0.00,18.73,20.41,19.95,19.01,19.01,18.73,18.92,18.36,18.83,15.23,98.61,285.37,0.00,0.00,-0.01,24.10,30.88,-3.75,8.05,-0.32,24.77,-0.32,0.00,0.00,0.02,-0.56,21.95,0.00,0.00,229689.52,0.00,0.00,253.68,27.08,28.12,-0.11,0.51,19.26,0.56,0.00,3.53,0.40,0.70,6.55
2024-11-03 00:06:00,537555.75,2024.00,11.00,2.00,23.00,59.00,28.00,13.86,28.44,0.05,-0.50,0.00,0.00,18.55,20.41,20.04,19.01,18.92,18.73,18.92,18.46,18.83,15.22,98.62,285.37,0.00,0.00,-0.01,24.10,30.86,-3.75,8.05,-0.32,24.77,-0.46,0.00,0.00,0.00,-0.49,21.91,0.00,0.00,229689.52,0.00,0.00,255.35,27.08,27.95,-0.10,0.51,19.22,0.68,0.02,3.02,0.20,0.64,6.20
2024-11-03 00:08:00,537555.75,2024.00,11.00,3.00,0.00,1.00,46.00,14.06,28.55,0.06,-2.41,0.00,0.00,18.73,20.41,20.04,19.20,19.29,18.83,19.01,18.46,18.92,15.23,98.66,285.37,0.00,0.00,0.00,24.09,30.83,-3.75,8.05,-0.21,24.74,-0.46,0.00,0.00,0.01,-0.46,21.91,0.00,0.00,229689.52,0.00,0.00,251.88,27.04,27.94,-0.10,0.49,19.25,0.69,0.07,3.43,0.10,0.52,6.05
2024-11-03 00:10:00,537555.75,2024.00,11.00,3.00,0.00,3.00,46.00,14.26,28.70,0.05,-4.74,0.00,0.00,18.52,20.38,20.01,19.17,19.26,18.80,18.98,18.52,18.80,15.23,98.60,285.37,0.00,0.00,0.00,24.09,30.81,-3.75,8.05,-0.21,24.72,-0.44,0.00,0.00,0.00,-0.56,21.91,0.00,0.00,229689.52,0.00,0.00,257.22,27.03,27.95,-0.10,0.49,19.25,0.50,0.00,2.18,0.41,0.42,6.35
2024-11-03 00:12:00,537555.75,2024.00,11.00,3.00,0.00,5.00,38.00,14.26,28.84,0.06,0.37,0.00,0.00,18.73,20.41,20.13,19.01,19.01,18.83,19.01,18.55,18.92,15.23,98.64,285.37,0.00,0.00,0.00,24.05,30.81,-3.75,8.05,-0.21,24.72,-0.43,0.00,0.00,0.00,-0.52,21.88,0.00,0.00,229689.52,0.00,0.00,261.04,27.00,27.94,-0.11,0.47,19.23,0.19,0.00,2.47,0.63,0.26,6.00
2024-11-03 00:14:00,537555.75,2024.00,11.00,3.00,0.00,7.00,47.00,14.32,28.90,0.06,-0.29,0.00,0.00,18.83,20.41,20.04,19.20,19.39,18.92,19.01,18.55,19.01,15.23,98.68,285.37,0.00,0.00,-0.01,24.05,30.79,-3.75,8.05,-0.24,24.69,-0.31,0.00,0.00,0.02,-0.49,21.88,0.00,0.00,229689.52,0.00,0.00,265.90,27.00,27.94,-0.11,0.47,19.23,0.62,0.00,3.04,0.41,0.58,5.95
2024-11-03 00:16:00,537555.75,2024.00,11.00,3.00,0.00,9.00,30.00,14.38,28.90,0.06,-0.81,0.00,0.00,18.89,20.38,20.10,19.26,19.36,18.89,19.17,18.52,18.98,15.23,98.64,285.37,0.00,0.00,-0.01,24.02,30.75,-3.75,8.05,-0.32,24.68,-0.35,0.00,0.00,0.01,-0.49,21.87,0.00,0.00,229689.52,0.00,0.00,261.60,27.00,27.94,-0.10,0.47,19.21,0.50,0.02,1.81,0.37,0.58,6.40
2024-11-03 00:18:00,537555.75,2024.00,11.00,3.00,0.00,11.00,39.00,14.52,29.01,0.06,-4.82,0.00,0.00,18.80,20.38,20.01,19.17,19.36,18.80,18.98,18.70,18.89,15.23,98.63,285.37,0.00,0.00,-0.01,24.02,30.75,-3.75,8.05,-0.32,24.68,-0.46,0.00,0.00,0.00,-0.46,21.87,0.00,0.00,229689.52,0.00,0.00,258.40,26.99,27.94,-0.11,0.44,19.20,0.25,0.00,2.91,0.71,0.48,6.28
2024-11-03 00:20:00,537555.75,2024.00,11.00,3.00,0.00,13.00,46.00,14.52,29.10,0.05,-4.11,0.00,0.00,18.83,20.32,20.04,19.20,19.20,18.83,19.11,18.46,18.92,15.23,98.65,285.37,0.00,0.00,0.00,24.01,30.73,-3.75,8.04,-0.32,24.64,-0.37,0.00,0.00,0.01,-0.57,21.83,0.00,0.00,229689.52,0.00,0.00,252.78,26.99,27.94,-0.11,0.44,19.21,0.88,0.05,3.00,0.56,0.59,6.57
2024-11-03 00:22:00,537555.75,2024.00,11.00,3.00,0.00,15.00,46.00,14.58,29.16,0.06,-3.44,0.00,0.00,18.86,20.35,20.26,19.14,19.05,18.77,19.14,18.49,18.95,15.23,98.66,285.37,0.00,0.00,-0.01,24.01,30.72,-3.75,8.04,-0.24,24.61,-0.34,0.00,0.00,0.00,-0.49,21.82,0.00,0.00,229689.52,0.00,0.00,260.76,26.95,27.94,-0.09,0.43,19.20,0.38,0.00,2.28,0.32,0.66,6.50
2024-11-03 00:24:00,537555.75,2024.00,11.00,3.00,0.00,17.00,37.00,14.66,29.21,0.05,-4.86,0.00,0.00,18.70,20.29,20.01,19.17,19.17,18.80,19.08,18.42,18.89,15.23,98.64,285.37,0.00,0.00,0.00,23.97,30.69,-3.75,8.04,-0.21,24.61,-0.40,0.00,0.00,0.00,-0.49,21.82,0.00,0.00,229689.52,0.00,0.00,262.57,26.95,27.94,-0.11,0.45,19.17,0.50,0.01,4.96,0.18,0.59,5.65
2024-11-03 00:26:00,537555.75,2024.00,11.00,3.00,0.00,19.00,47.00,14.66,29.36,0.06,-1.25,0.00,0.00,18.86,20.26,19.98,19.23,19.23,18.77,19.05,18.39,18.86,15.23,98.67,285.37,0.00,0.00,-0.01,23.96,30.66,-3.75,8.04,-0.28,24.60,-0.35,0.00,0.00,0.02,-0.52,21.79,0.00,0.00,229689.52,0.00,0.00,260.00,26.92,27.94,-0.09,0.46,19.25,0.19,0.03,3.72,0.41,0.61,6.15
2024-11-03 00:28:00,537555.75,2024.00,11.00,3.00,0.00,21.00,46.00,14.66,29.42,0.05,-4.57,0.00,0.00,18.64,20.22,19.95,19.11,19.11,18.73,19.01,18.36,18.83,15.22,98.66,285.37,0.00,0.00,0.00,23.93,30.64,-3.75,8.04,-0.21,24.60,-0.46,0.00,0.00,0.01,-0.49,21.79,0.00,0.00,229689.52,0.00,0.00,254.72,26.92,27.93,-0.11,0.50,19.18,0.56,0.02,3.09,0.57,0.43,6.22
2024-11-03 00:30:00,537555.75,2024.00,11.00,3.00,0.00,23.00,29.00,14.72,29.56,0.05,-2.12,0.00,0.00,18.73,20.13,19.95,19.20,19.11,18.73,19.01,18.36,18.83,15.23,98.62,285.37,0.00,0.00,-0.01,23.93,30.61,-3.75,8.04,-0.24,24.58,-0.35,0.00,0.00,0.01,-0.49,21.79,0.00,0.00,229689.52,0.00,0.00,254.17,26.91,27.94,-0.10,0.50,19.21,0.38,0.03,2.79,0.52,0.47,7.20
2024-11-03 00:32:00,537555.75,2024.00,11.00,3.00,0.00,25.00,45.00,14.72,29.62,0.06,0.29,0.00,0.00,18.64,20.22,19.95,19.11,19.11,18.73,19.11,18.55,18.83,15.23,98.63,285.37,0.00,0.00,0.00,23.89,30.61,-3.75,8.04,-0.24,24.55,-0.34,0.00,0.00,0.02,-0.52,21.75,0.00,0.00,229689.52,0.00,0.00,258.33,26.91,27.75,-0.11,0.50,19.23,0.34,0.00,3.12,0.82,0.55,6.22
2024-11-03 00:34:00,537555.75,2024.00,11.00,3.00,0.00,27.00,45.00,14.78,29.70,0.05,1.08,0.00,0.00,18.73,20.22,19.95,19.20,19.20,18.73,19.01,18.55,18.83,15.22,98.67,285.37,0.00,0.00,0.00,23.88,30.59,-3.75,8.04,-0.21,24.55,-0.31,0.00,0.00,0.00,-0.56,21.75,0.00,0.00,229689.52,0.00,0.00,258.19,26.87,27.75,-0.11,0.50,19.25,0.44,0.00,2.90,0.73,0.33,6.20
2024-11-03 00:36:00,537555.75,2024.00,11.00,3.00,0.00,29.00,27.00,14.78,29.76,0.06,-1.25,0.00,0.00,18.73,20.13,20.13,19.11,19.11,18.73,19.01,18.55,18.83,15.23,98.69,285.37,0.00,0.00,-0.01,23.85,30.59,-3.75,8.04,-0.21,24.55,-0.41,0.00,0.00,0.01,-0.52,21.74,0.00,0.00,229689.52,0.00,0.00,259.24,26.87,27.75,-0.10,0.50,19.20,0.62,0.00,2.44,0.46,0.67,6.20
2024-11-03 00:38:00,537555.75,2024.00,11.00,3.00,0.00,31.00,47.00,14.84,29.76,0.05,-3.26,0.00,0.00,18.70,20.19,19.82,19.17,19.17,18.80,18.98,18.52,18.80,15.23,98.63,285.37,0.00,0.00,-0.01,23.85,30.56,-3.75,8.04,-0.28,24.52,-0.44,0.00,0.00,0.01,-0.49,21.74,0.00,0.00,229689.52,0.00,0.00,255.28,26.86,27.75,-0.10,0.49,19.16,0.50,0.00,3.40,0.47,0.31,6.51
2024-11-03 00:40:00,537555.75,2024.00,11.00,3.00,0.00,33.00,47.00,14.92,29.88,0.05,2.10,0.00,0.00,18.67,20.07,19.88,19.05,19.05,18.67,19.05,18.30,18.77,15.23,98.67,285.37,0.00,0.00,-0.01,23.84,30.55,-3.75,8.04,-0.21,24.50,-0.46,0.00,0.00,0.00,-0.49,21.72,0.00,0.00,229689.52,0.00,0.00,258.19,26.86,27.75,-0.10,0.48,19.21,0.12,0.00,3.04,0.35,0.40,6.25
2024-11-03 00:42:00,537555.75,2024.00,11.00,3.00,0.00,35.00,46.00,14.84,29.96,0.05,-4.48,0.00,0.00,18.77,20.07,19.88,19.14,19.05,18.67,18.95,18.30,18.77,15.23,98.64,285.37,0.00,0.00,0.00,23.80,30.55,-3.75,8.04,-0.28,24.50,-0.37,0.00,0.00,0.00,-0.49,21.72,0.00,0.00,229689.52,0.00,0.00,258.26,26.83,27.75,-0.09,0.48,19.22,0.31,0.00,3.97,0.42,0.59,6.10
2024-11-03 00:44:00,537555.75,2024.00,11.00,3.00,0.00,37.00,34.00,14.84,30.08,0.05,2.13,0.00,0.00,18.64,20.04,19.85,19.01,19.01,18.64,19.01,18.46,18.73,15.23,98.62,285.37,0.00,0.00,-0.01,23.78,30.51,-3.75,8.03,-0.21,24.47,-0.35,0.00,0.00,0.00,-0.56,21.69,0.00,0.00,229689.52,0.00,0.00,257.22,26.83,27.75,-0.11,0.51,19.24,0.19,0.01,3.35,0.26,0.41,6.10
2024-11-03 00:46:00,537555.75,2024.00,11.00,3.00,0.00,39.00,41.00,14.92,30.16,0.05,-3.52,0.00,0.00,18.61,20.01,19.82,18.98,18.98,18.61,18.98,18.42,18.70,15.23,98.65,285.37,0.00,0.00,-0.01,23.78,30.48,-3.75,8.04,-0.28,24.47,-0.46,0.00,0.00,0.01,-0.49,21.69,0.00,0.00,229689.52,0.00,0.00,252.15,26.81,27.75,-0.10,0.50,19.23,0.65,0.01,4.01,0.35,0.61,6.30
2024-11-03 00:48:00,537555.75,2024.00,11.00,3.00,0.00,41.00,47.00,14.84,30.22,0.06,0.91,0.00,0.00,18.70,20.01,19.82,19.08,18.98,18.70,18.98,18.24,18.70,15.22,98.66,285.37,0.00,0.00,-0.01,23.76,30.48,-3.75,8.03,-0.24,24.45,-0.44,0.00,0.00,0.00,-0.49,21.66,0.00,0.00,229689.52,0.00,0.00,261.60,26.78,27.75,-0.09,0.52,19.20,0.31,0.00,4.05,0.17,0.59,6.58
2024-11-03 00:50:00,537555.75,2024.00,11.00,3.00,0.00,43.00,47.00,14.92,30.22,0.05,-2.34,0.00,0.00,18.86,19.98,19.79,18.95,19.05,18.67,18.95,18.21,18.67,15.23,98.60,285.37,0.00,0.00,-0.01,23.72,30.47,-3.75,8.03,-0.24,24.42,-0.37,0.00,0.00,0.00,-0.56,21.64,0.00,0.00,229689.52,0.00,0.00,262.36,26.78,27.59,-0.10,0.50,19.25,0.62,0.00,3.82,0.31,0.63,6.53
2024-11-03 00:52:00,537555.75,2024.00,11.00,3.00,0.00,45.00,32.00,14.98,30.28,0.05,1.67,0.00,0.00,18.67,19.98,19.79,18.95,18.95,18.49,18.95,18.21,18.86,15.23,98.68,285.37,0.00,0.00,0.00,23.70,30.47,-3.75,8.03,-0.21,24.42,-0.37,0.00,0.00,0.01,-0.49,21.64,0.00,0.00,229689.52,0.00,0.00,253.75,26.75,27.57,-0.10,0.49,19.23,0.29,0.00,3.52,0.42,0.44,6.32
2024-11-03 00:54:00,537555.75,2024.00,11.00,3.00,0.00,47.00,41.00,14.98,30.36,0.05,2.19,0.00,0.00,18.55,19.95,19.76,18.92,18.92,18.55,18.92,18.18,18.64,15.23,98.63,285.37,0.00,0.00,-0.01,23.69,30.44,-3.75,8.03,-0.21,24.39,-0.35,0.00,0.00,0.00,-0.56,21.63,0.00,0.00,229689.52,0.00,0.00,255.56,26.75,27.63,-0.11,0.53,19.23,0.25,0.02,2.65,0.47,0.60,7.01
2024-11-03 00:56:00,537555.75,2024.00,11.00,3.00,0.00,49.00,46.00,14.92,30.42,0.06,-3.52,0.00,0.00,18.52,20.01,19.73,18.89,18.89,18.52,18.89,18.33,18.61,15.23,98.61,285.37,0.00,0.00,-0.01,23.69,30.39,-3.75,8.03,-0.28,24.39,-0.32,0.00,0.00,0.01,-0.49,21.63,0.00,0.00,229689.52,0.00,0.00,260.76,26.74,27.57,-0.11,0.53,19.25,0.75,0.02,2.95,0.79,0.46,6.28
2024-11-03 00:58:00,537555.75,2024.00,11.00,3.00,0.00,51.00,29.00,14.92,30.54,0.06,-0.30,0.00,0.00,18.89,19.91,19.73,18.98,18.89,18.52,18.89,18.33,18.80,15.23,98.67,285.37,0.00,0.00,0.00,23.65,30.39,-3.75,8.03,-0.32,24.37,-0.40,0.00,0.00,0.01,-0.49,21.59,0.00,0.00,229689.52,0.00,0.00,256.04,26.70,27.56,-0.10,0.51,19.22,0.88,0.05,2.99,0.74,0.63,6.93
2024-11-03 01:00:00,537555.75,2024.00,11.00,3.00,0.00,53.00,37.00,14.98,30.54,0.05,1.44,0.00,0.00,18.64,19.95,19.67,19.01,18.92,18.55,18.92,18.18,18.64,15.24,98.64,285.37,0.00,0.00,0.00,23.63,30.37,-3.75,8.03,-0.32,24.36,-0.35,0.00,0.00,0.01,-0.49,21.59,0.00,0.00,229689.52,0.00,0.00,254.93,26.68,27.56,-0.10,0.53,19.26,0.38,0.06,2.76,0.84,0.48,6.45
2024-11-03 01:02:00,537555.75,2024.00,11.00,3.00,0.00,55.00,40.00,15.04,30.62,0.05,-3.75,0.00,0.00,18.52,19.91,19.64,18.89,18.70,18.52,18.89,18.14,18.61,15.23,98.64,285.37,0.00,0.00,0.00,23.61,30.34,-3.75,8.03,-0.24,24.36,-0.31,0.00,0.00,0.02,-0.49,21.56,0.00,0.00,229689.52,0.00,0.00,256.11,26.68,27.56,-0.09,0.53,19.22,0.38,0.12,2.99,0.50,0.57,6.15
2024-11-03 01:04:00,537555.75,2024.00,11.00,3.00,0.00,57.00,47.00,14.98,30.74,0.06,2.11,0.00,0.00,18.64,20.04,19.76,18.92,18.92,18.55,18.92,18.36,18.83,15.23,98.62,285.37,0.00,0.00,-0.01,23.61,30.34,-3.75,8.03,-0.21,24.33,-0.34,0.00,0.00,0.01,-0.56,21.56,0.00,0.00,229689.52,0.00,0.00,256.32,26.66,27.56,-0.09,0.54,19.25,0.44,0.05,2.50,0.54,0.57,6.10
