数据时间,入炉垃圾量,推料器A位置,推料器B位置,一次风机频率反馈,一次风机电流反馈,A辅助燃烧器运行信号,B辅助燃烧器运行信号,上部烟气温度左,上部烟气温度中,上部烟气温度右,中部烟气温度左,中部烟气温度中,中部烟气温度右,下部烟气温度左,下部烟气温度中,下部烟气温度右,引风机变频器频率反馈,引风机入口调节风门位置反馈,消石灰累计,1#消石灰输送风机运行信号,备用消石灰输送风机运行信号,雾化器浆液流量,省煤器出口温度,反应塔温度,雾化器电流,减湿液PH值,湿法烧碱供应流量,湿法洗涤塔温度,SNCR分配柜氨水流量,SNCR-A氨水供应泵运行信号,SNCR-B氨水供应泵运行信号,NH3浓度,1#SCR氨水流量,SCR系统温度,SCR-A氨水供应泵运行信号,SCR-B氨水供应泵运行信号,活性炭称重累计,1#活性炭输送风机运行信号,备用活性炭输送风机运行信号,除尘器差压,除尘器灰斗温度,烟气温度,烟气压力,烟气含水量,烟气氧量,烟气烟尘,SO2浓度,NOX浓度,CO浓度,HCL浓度,烟气流速
2025-06-01 00:00:00,639661.75,570.23,569.16,35.58,108,0,1,1077.5,936.17,1153.15,1073.83,1090.66,1160.23,1087.23,1111.42,1153.62,38.81,99.57,294.12,0,0,1.72,223.21,144.38,44.79,6.71,24.96,68.01,18.5,0,0,10.94,15.31,190.57,0,0,273026.59,0,0,1176.81,147.75,150.94,-0.34,20.18,9.02,0.75,8.46,59.71,0.84,0.55,13.23
2025-06-01 00:02:00,639661.75,329.01,328.66,35.66,107.05,0,1,1080.33,937.21,1158.04,1073.64,1092.5,1163.65,1090.56,1129.87,1157.43,41.77,99.53,294.12,0,0,1.72,223.3,144.3,44.75,6.73,22.49,68.07,17.91,0,0,10.64,15.91,190.4,0,0,273026.59,0,0,1305.62,147.58,151.5,-0.31,20.35,8.69,0.63,12.79,60.49,2.18,0.86,14.62
2025-06-01 00:04:00,639666.75,29.3,28.84,35.58,106.81,0,1,1083.02,938.75,1155.51,1074.85,1098.94,1169.03,1099.93,1157.4,1163.72,41,99.6,294.12,0,0,1.71,223.82,144.41,44.63,6.72,24.61,68.06,18.53,0,0,10.43,16.17,190.2,0,0,273026.59,0,0,1291.04,147.38,152.06,-0.27,20.5,8.52,0.62,18.17,57.83,4.1,1.05,14.55
2025-06-01 00:06:00,639666.75,426.66,426.2,35.65,109.33,0,1,1085.26,939.79,1150.99,1076.62,1102.97,1173.44,1106.88,1145.24,1167.03,40.63,99.52,294.12,0,0,1.72,224.29,144.73,44.74,6.71,24.54,67.96,17.64,0,0,10.26,15.8,190.06,0,0,273026.59,0,0,1240.97,147.33,152.44,-0.32,20.43,8.67,0.81,23.43,58.69,0.79,1.64,14.79
2025-06-01 00:08:00,639666.75,328.81,328.35,35.67,108.44,0,1,1084.57,939.51,1146.22,1078.65,1102.67,1174.56,1107.48,1136.19,1166.32,40.18,99.59,294.12,0,0,1.71,224.54,145.03,44.81,6.71,22.7,67.76,17.61,0,0,9.72,15.8,189.94,0,0,273026.59,0,0,1231.39,147.29,152.62,-0.32,20.18,8.99,0.56,21.33,61.78,0.19,1.6,13.98
2025-06-01 00:10:00,639672.25,72.81,71.28,35.87,111.49,0,1,1085.06,939.51,1151.6,1079.51,1104.13,1173.54,1104.63,1135.18,1166.12,39.44,99.56,294.12,0,0,1.72,224.47,145.15,45.05,6.72,24.37,67.68,17.59,0,0,9.75,15.57,189.86,0,0,273026.59,0,0,1198.06,147.33,152.62,-0.3,20.03,9.21,0.56,18.91,62.88,0.15,1.36,13.23
2025-06-01 00:12:00,639672.25,593.2,592.08,35.67,107.04,0,1,1088.12,941.11,1160.34,1079.93,1111.92,1173.47,1107.91,1142.79,1167.07,40.83,99.58,294.12,0,0,1.72,224.47,145.15,44.78,6.69,36.37,67.74,18.53,0,0,9.2,15.46,189.86,0,0,273026.59,0,0,1299.03,147.34,152.62,-0.34,20.16,8.87,0.94,22.01,61.78,3.46,1.69,14.07
2025-06-01 00:14:00,639672.25,90.37,88.51,35.62,115.83,0,1,1089.21,942.25,1156.15,1080.92,1114.18,1173.47,1111.62,1145.08,1168.45,40.81,99.58,294.12,0,0,1.7,224.8,145.2,44.63,6.65,75.42,67.81,17.65,0,0,9.39,16.07,189.96,0,0,273030,0,0,1259.79,147.34,152.62,-0.29,20.38,8.45,0.99,33.22,57.12,20.27,1.63,13.65
2025-06-01 00:16:00,639672.25,232.48,233.34,35.67,115.59,0,1,1090.75,942.63,1153.92,1082.56,1116.17,1176.29,1117.83,1157.03,1173.78,40.76,99.58,294.12,0,0,1.72,225.15,145.4,44.78,6.65,79.18,67.81,17.62,0,0,9.02,15.28,190.05,0,0,273030,0,0,1261.74,147.34,152.62,-0.3,20.37,8.67,0.28,30.56,59.23,3.27,1.86,13.73
2025-06-01 00:18:00,639672.25,534.57,533.25,35.58,104.35,0,1,1093,943.54,1160.54,1084.24,1121.86,1181.43,1123.16,1148.84,1178.2,40.07,99.6,294.12,0,0,1.72,225.29,145.64,44.76,6.62,179.41,67.68,17.56,0,0,8.93,15.76,190.14,0,0,273030,0,0,1209.86,147.37,152.62,-0.31,20.17,8.84,1,31.21,62.9,0.39,2.03,13.8
