序号,预警类型,预警规则,,
1,瞬时低炉温焚烧,"正常工况下，1.时间划分：以自然日零点为起始点，按5分钟间隔划分时间。
2.温度计算：对焚烧炉炉膛的中部和上部两个断面，各自取所有热电偶测量温度的中位数。
计算这两个中位数的算术平均值，作为该断面的代表温度。
3.以5分钟为一个时间窗口，计算温度累计平均值。
5.当温度累计平均值低于850℃开始预警（记录一条预警记录），直至温度高于850℃或5分钟窗口预警结束。",=（I+J+K+L+M+N+O+P+Q)/9,
5,炉膛温度偏高,"正常工况下，以一个自然日零点为起始计算点，以1小时为时间间隔进行划分计算焚烧炉炉膛内温度（上炉膛和中炉膛热电偶测量温度的平均值）计算1小时均值，高于1200 ℃，发出预警,并进行下一个小时的判断。",=（I+J+K+L+M+N+O+P+Q)/9,
6,炉膛温度过高,"正常工况下，以一个自然日零点为起始计算点，以1小时为时间间隔进行划分计算焚烧炉炉膛内温度（上炉膛和中炉膛热电偶测量温度的平均值）计算1小时均值，高于1300 ℃，发出预警,并进行下一个小时的判断。",=（I+J+K+L+M+N+O+P+Q)/9,
8,布袋除尘器压力损失偏高,正常工况下，实时判断布袋除尘压差高于2000Pa发出预警信息，并开始计时，直至压差低于2000Pa，预警结束，并开始下一个预警的判断。,AO列,
9,布袋除尘器压力损失偏低,正常工况下，实时判断布袋除尘压差低于500Pa发出预警信息，并开始计时，直至压差高于500Pa，预警结束，并开始下一个预警的判断。,AO列,
12,焚烧炉出口氧含量偏高,正常工况下，实时判断焚烧炉出口氧含量，高于10%发出预警并开始计时，直至氧含量低于10%，预警结束，并开始下一个预警的判断。,AT列,
13,焚烧炉出口氧含量偏低,正常工况下，实时判断焚烧炉出口氧含量，低于6%发出预警并开始计时，直至氧含量高于6%，预警结束，并开始下一个预警的判断。,AT列,
17,烟气中颗粒物（PM）浓度较高,"1.污染物小时均值计算：以一个自然日零点为起始计算点，以1小时为时间间隔进行划分计算排放烟气中 颗粒物（PM）。
2.污染物限值：颗粒物（PM）≤30mg/m3。
3.超标判定：若小时均值超过限值，则触发预警。",AU列,实时数据要进行折算，这算方法同数据分析表格
18,烟气中氮氧化物（NOx）浓度较高,"1.污染物小时均值计算：以一个自然日零点为起始计算点，以1小时为时间间隔进行划分计算排放烟气中氮氧化物（NOx）小时均值（折算后数据）。
2.各污染物限值：氮氧化物（NOx）≤ 300 mg/m3。
3.超标判定：若小时均值超过限值，则触发预警。",AW列,
19,烟气中二氧化硫（SO₂）浓度较高,"1.污染物小时均值计算：以一个自然日零点为起始计算点，以1小时为时间间隔进行划分计算排放烟气中二氧化硫（SO₂）的 小时均值（折算后数据）。
2.污染物限值：二氧化硫（SO₂）≤ 100 mg/m3。
3.超标判定：若小时均值超过限值，则触发预警。",AV列,
20,烟气中氯化氢（HCl）浓度较高,"1.污染物小时均值计算：以一个自然日零点为起始计算点，以1小时为时间间隔进行划分计算排放烟气中氯化氢（HCl）的 小时均值（折算后数据）。
2.污染物限值氯化氢（HCl）≤ 60 mg/m3。
3.超标判定：若小时均值超过限值，则触发预警。",AY列,
21,烟气中一氧化碳（CO）浓度较高,"1.污染物小时均值计算：以一个自然日零点为起始计算点，以1小时为时间间隔进行划分计算排放烟气中一氧化碳（CO） 的 小时均值（折算后数据）。
2.各污染物限值：一氧化碳（CO）≤ 100 mg/m3
3.超标判定：若小时均值超过限值，则触发预警。",AX列,
