时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-12-30 00:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 01:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 03:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 05:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 07:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 07:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 09:08:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 10:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 10:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 11:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 11:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 12:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 12:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 12:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 13:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 13:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 13:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 14:40:00,1,预警,布袋除尘器压力损失偏高,预警
2024-12-30 17:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 17:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 18:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 19:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 20:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 21:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-30 23:12:00,1,预警,焚烧炉出口氧含量偏高,预警
