时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-03-09 01:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 01:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 01:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 02:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 02:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 03:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 04:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 04:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 05:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 05:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 06:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 06:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 07:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 07:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 07:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 08:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 09:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 10:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 10:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 10:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 13:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 13:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 14:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 20:10:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 21:36:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 21:40:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 22:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 22:58:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-03-09 23:26:00,1,预警,焚烧炉出口氧含量偏高,预警
