时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-05-31 05:16:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 07:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 08:30:00,1,预警,瞬时低炉温焚烧,预警
2025-05-31 08:30:00,1,报警,低炉温焚烧,报警
2025-05-31 08:34:00,1,预警,布袋除尘器压力损失偏低,预警
2025-05-31 08:45:00,1,预警,瞬时低炉温焚烧,预警
2025-05-31 08:45:00,1,报警,低炉温焚烧,报警
2025-05-31 08:48:00,1,预警,布袋除尘器压力损失偏低,预警
2025-05-31 09:25:00,1,预警,瞬时低炉温焚烧,预警
2025-05-31 09:25:00,1,报警,低炉温焚烧,报警
2025-05-31 09:28:00,1,预警,布袋除尘器压力损失偏低,预警
2025-05-31 11:48:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 15:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 17:00:00,1,预警,瞬时低炉温焚烧,预警
2025-05-31 17:00:00,1,预警,布袋除尘器压力损失偏低,预警
2025-05-31 17:00:00,1,报警,低炉温焚烧,报警
