时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分,数据来源,数据日期
2024-07-01 02:45:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 02:45:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 02:49:00,1,预警,焚烧炉出口氧含量偏高,预警,7.1_process.xlsx,7.1
2024-07-01 02:49:00,1,预警,布袋除尘器压力损失偏低,预警,7.1_process.xlsx,7.1
2024-07-01 02:55:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 02:55:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 03:20:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 03:20:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 04:25:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 04:25:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 04:55:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 04:55:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 07:55:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 07:55:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 08:10:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 08:10:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 08:15:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 08:15:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 08:20:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 08:20:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 08:30:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 08:30:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 08:35:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 08:35:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 08:40:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 08:40:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 08:45:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 08:45:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 08:50:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 08:50:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 08:55:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 08:55:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:00:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
