创建时间,出口voc,出口voc前一小时平均值,进口voc,进口voc前一小时平均值,进口0出口1,数据类型,整体处理效率,企业名称,设备名称,氧气,风管内温度值,风管内湿度值,风管内风速值,出口风压值,进口风压值,风管压差,进口产生量kg,出口排放量kg,风量,处理效率
2025-07-24 14:00:07,0.0,0.18509244962246474,71.1268718094652,75.4500119292889,0,进口浓度,0.0,连微,抽气式东星行测试,,33.142307510792634,60.498873457251285,11.982400390508449,100.2,100.6,-0.4,0.0,0.0,12122.637421903972,
2025-07-24 14:02:05,6.145220646149163,0.16225611147238422,0.0,69.03340743279416,1,出口浓度,0.0,连微,抽气式东星行测试,,33.78044477096982,55.526744446628385,12.363858520501275,100.2,100.6,-0.4,0.0,0.0,12845.5212189747,77.98969430249926
2025-07-24 14:05:35,0.1,-2.160365530103573,0.0,63.32928471982348,1,出口浓度,0.0,连微,抽气式东星行测试,,35.56532672941555,60.10817230451875,12.423618208014425,100.2,100.6,-0.4,0.0,0.0,12927.324456723178,85.94250056410041
2025-07-24 14:06:29,0.0,0.43502298069720313,87.12907019061818,66.69998535852586,0,进口浓度,0.0,连微,抽气式东星行测试,,32.80392148471074,55.83326123223019,12.580746121615498,100.2,100.6,-0.4,0.0,0.0,12026.284026808265,
2025-07-24 14:08:27,1.3643429961535212,-0.3365330069926757,0.0,67.51313056083187,1,出口浓度,0.0,连微,抽气式东星行测试,,34.20658773570571,58.67169017572313,11.172430963303865,100.2,100.6,-0.4,0.0,0.0,12309.290717528462,94.98987609835967
2025-07-24 14:13:26,0.0,0.5027826193212005,84.88426847198969,73.17800631148828,0,进口浓度,0.0,连微,抽气式东星行测试,,35.293357598033566,55.442504277467435,12.944759463027532,100.2,100.6,-0.4,0.0,0.0,12642.338589386381,
2025-07-24 14:14:59,0.0,1.1204359625983238,76.81741354515799,68.93150861476829,0,进口浓度,0.0,连微,抽气式东星行测试,,35.511840606601645,59.68157757302985,12.279587858733326,100.2,100.6,-0.4,0.0,0.0,12181.963136552138,
2025-07-24 14:17:02,7.960233822945709,0.04570971889184944,0.0,69.22593927536468,1,出口浓度,0.0,连微,抽气式东星行测试,,32.22165140007111,55.744966723834075,11.306030933620402,100.2,100.6,-0.4,0.0,0.0,12164.657079890125,78.0665187788639
2025-07-24 14:20:14,3.849314120467934,-0.4738615059487616,0.0,69.70900781911904,1,出口浓度,0.0,连微,抽气式东星行测试,,35.5797036672845,60.0756022369352,11.501210617963999,100.2,100.6,-0.4,0.0,0.0,12635.057091387745,83.7710353870785
2025-07-24 14:21:32,0.0,-0.3887015755644957,67.07328752907517,70.8211411054251,0,进口浓度,0.0,连微,抽气式东星行测试,,34.01029257896505,56.01181541048624,12.883213975737192,100.2,100.6,-0.4,0.0,0.0,12154.194266879564,
2025-07-24 16:27:27,0.0,4.0384009806571015,78.4521359055608,76.11523576311555,0,进口浓度,1.7,连微,抽气式东星行测试,,35.21875261686293,59.10994504717406,11.594867742859485,100.2,100.6,-0.4,0.0,0.0,12072.973025505346,
2025-07-24 16:27:57,0.1,2.125908337966883,0.0,67.55760704292786,1,出口浓度,1.7,连微,抽气式东星行测试,,32.816092054253595,58.63996157692382,11.625164998493865,100.2,100.6,-0.4,0.0,0.0,12718.362885112438,88.35499387011367
