数据时间,1#变频给料机状态,2#变频给料机状态,3#变频给料机状态,#1炉左一给料炉排行程,#1炉左二给料炉排行程,#1炉左三给料炉排行程,#1炉右三给料炉排行程,#1炉右二给料炉排行程,#1炉右一给料炉排行程,#2炉左一给料炉排行程,#2炉左二给料炉排行程,#2炉左三给料炉排行程,#2炉右三给料炉排行程,#2炉右二给料炉排行程,#2炉右一给料炉排行程,1#辅助燃烧器运行信号左,1#辅助燃烧器运行信号右,2#辅助燃烧器运行信号左,2#辅助燃烧器运行信号右,#1炉第一烟道上部温度T10（顶间左侧）,#1炉第一烟道上部温度T11（顶间中侧）,#1炉第一烟道上部温度T12（顶间右侧）,,#1炉第一烟道中部温度T20（中间左侧),#1炉第一烟道中部温度T21（中间中侧）,#1炉第一烟道中部温度T22（中间右间）,,,#2炉第一烟道上部温度T10（顶间左侧）,#2炉第一烟道上部温度T11（顶间中侧）,#2炉第一烟道上部温度T12（顶间右侧）,,#2炉第一烟道中部温度T20（中间左侧),#2炉第一烟道中部温度T21（中间中侧）,#2炉第一烟道中部温度T22（中间右间）,,,#1炉炉膛压力,,#2炉炉膛压力,1#炉5单元右侧一次风机电机电流,1#炉1单元左侧一次风机电机电流,1#炉2单元左侧一次风机电机电流,1#炉3单元左侧一次风机电机电流,1#炉4单元左侧一次风机电机电流,1#炉5单元左侧一次风机电机电流,1#炉1单元右侧一次风机电机电流,1#炉2单元右侧一次风机电机电流,1#炉3单元右侧一次风机电机电流,1#炉4单元右侧一次风机电机电流,1#炉5单元右侧一次风机电机运行,1#炉1单元左侧一次风机电机运行,1#炉2单元左侧一次风机电机运行,1#炉3单元左侧一次风机电机运行,1#炉4单元左侧一次风机电机运行,1#炉5单元左侧一次风机电机运行,1#炉1单元右侧一次风机电机运行,1#炉2单元右侧一次风机电机运行,1#炉3单元右侧一次风机电机运行,1#炉4单元右侧一次风机电机运行,2#炉5单元右侧一次风机电机电流,2#炉1单元左侧一次风机电机电流,2#炉2单元左侧一次风机电机电流,2#炉3单元左侧一次风机电机电流,2#炉4单元左侧一次风机电机电流,2#炉5单元左侧一次风机电机电流,2#炉1单元右侧一次风机电机电流,2#炉2单元右侧一次风机电机电流,2#炉3单元右侧一次风机电机电流,2#炉4单元右侧一次风机电机电流,2#炉5单元右侧一次风机电机运行,2#炉1单元左侧一次风机电机运行,2#炉2单元左侧一次风机电机运行,2#炉3单元左侧一次风机电机运行,2#炉4单元左侧一次风机电机运行,2#炉5单元左侧一次风机电机运行,2#炉1单元右侧一次风机电机运行,2#炉2单元右侧一次风机电机运行,2#炉3单元右侧一次风机电机运行,2#炉4单元右侧一次风机电机运行,1#炉二次风机频率,1#炉二次风机电流,1#炉二次风机电机变频运行,2#炉二次风机频率,2#炉二次风机电流,2#炉二次风机电机变频运行,1#炉引风机速度反馈,1#炉引风机变频器电流,1#炉引风机进口调节风门阀位反馈,1#炉引风机运行,1#炉引风机变频器工频状态,1#炉引风机变频器变频状态,2#炉引风机速度反馈,2#炉引风机变频器电流,2#炉引风机进口调节风门阀位反馈,2#炉引风机变频器运行,2#炉引风机变频器工频状态,2#炉引风机变频器变频状态,炉外干法仓累积量,炉内干法仓累积量,公用仓累积量,1#炉雾化器石灰浆流量计 FT1001,1#制浆累计重量,1#炉反应塔温度,1#炉雾化器石灰浆开关阀,2#炉雾化器石灰浆流量计 FT1001,2#制浆累计重量,2#炉反应塔温度,2#炉雾化器石灰浆开关阀,氢氧化钠稀释泵累积流量（总）,1#炉PH1,1#炉PH2,1#炉氢氧化钠累积流量,1#炉反应塔温度1,1#炉反应塔温度2,2#炉PH1,2#炉PH2,2#炉氢氧化钠累积流量,2#炉反应塔温度1,2#炉反应塔温度2,1#炉还原剂累积流量1（氨水）,1#炉还原剂累积流量2（氨水）,1#炉第一烟道顶部平均温度,1#SNCR运行信号（1#阀门开）,1#SNCR运行信号（2#阀门开）,2#炉还原剂累积流量1（氨水）,2#炉还原剂累积流量2（氨水）,2#炉第一烟道顶部平均温度,2#SNCR运行信号（1#阀门开）,2#SNCR运行信号（2#阀门开）,1#还原剂流量,1#SCR反应器进口温度,1#SCR反应器出口温度,2#还原剂流量,2#SCR反应器进口温度,2#SCR反应器出口温度,1#罐活性炭称重1瞬时流量,1#罐活性炭称重2瞬时流量,1#罐活性炭称重3瞬时流量,1#罐活性炭称重1累积,1#罐活性炭称重2累积,1#罐活性炭称重3累积,1#罐1#电机运行,1#罐2#电机运行,1#罐3#电机运行,1#炉除尘器总差压  PT2001,1#炉布袋除尘器进口温度,2#炉除尘器总差压  PT2001,2#炉布袋除尘器进口温度,1#炉CEMS出口温度,1#炉CEMS出口压力,1#炉烟气流量,1#炉CEMS出口湿度,1#炉O2,1#炉粉尘,1#炉SO2,1#炉Nox,1#炉CO,1#炉HCL,1#炉NH3逃逸,2#炉CEMS出口温度,2#炉CEMS出口压力,2#炉烟气流量,2#炉CEMS出口湿度,2#炉O2,2#炉粉尘,2#炉SO2,2#炉Nox,2#炉CO,2#炉HCL,2#炉NH3逃逸
2025-05-23 00:00:00,0.00,0.00,0.00,720.52,719.41,-18.97,569.38,722.13,720.84,232.06,163.15,127.20,125.67,151.36,150.63,0.00,0.00,0.00,0.00,1036.08,1086.92,1027.30,1050.10 ,1097.58,1158.25,1093.22,1116.35 ,1083.23 ,956.88,1048.53,1087.00,1030.80 ,953.12,1097.50,1101.25,1050.62 ,1040.71 ,-218.42,,-156.47,13.02,27.05,23.98,65.04,58.89,13.36,24.74,23.36,67.69,65.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.85,26.37,24.58,77.61,59.62,13.75,26.98,27.40,71.22,63.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.63,148.98,0.00,9.83,120.52,0.00,35.00,53.40,100.21,0.00,0.00,0.00,39.07,55.40,100.06,0.00,0.00,0.00,1.83,67854.52,89.76,2734.38,106712.99,158.07,0.00,2977.43,113888.84,151.91,0.00,36057.14,2.60,3.40,95.75,67.30,67.80,3.70,3.30,39.58,63.40,63.30,169.83,165.49,1069.45,0.00,0.00,178.51,194.01,1073.35,0.00,0.00,24.80,175.70,173.70,25.10,176.20,174.70,0.02,14.71,14.57,5959.00,6700.00,2385.00,0.00,0.00,0.00,1061.92,158.94,949.07,154.43,119.10,-455.00,126808.00,27.38,9.01,2.07,3.75,49.84,4.28,1.06,0.20,128.61,-610.00,160175.55,24.55,10.80,2.02,9.54,48.28,0.00,3.98,0.64
2025-05-23 00:02:00,0.00,0.00,0.00,615.38,711.28,-19.51,650.43,801.23,803.09,328.85,328.95,166.48,159.20,352.09,474.30,0.00,0.00,0.00,0.00,1042.97,1088.50,1028.88,1053.45 ,1094.88,1166.05,1096.45,1119.13 ,1086.29 ,954.55,1051.97,1068.55,1025.02 ,958.38,1089.93,1087.00,1045.10 ,1035.06 ,-220.7,,-121.2,13.05,26.86,23.82,66.24,58.66,13.43,25.13,23.13,66.78,64.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,26.28,24.56,77.37,58.97,13.59,27.68,27.04,69.79,63.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.59,152.86,0.00,9.88,125.81,0.00,35.01,53.73,100.20,0.00,0.00,0.00,39.07,55.02,100.07,0.00,0.00,0.00,1.83,67862.38,89.76,2769.10,106712.99,157.99,0.00,2953.56,113888.84,152.00,0.00,36057.14,2.60,3.40,95.75,67.10,67.90,3.70,3.30,39.58,63.50,63.20,169.83,165.49,1069.90,0.00,0.00,178.51,194.01,1067.88,0.00,0.00,24.90,174.80,174.60,24.90,176.20,175.00,0.02,14.69,14.55,5959.00,6701.00,2386.00,0.00,0.00,0.00,1022.86,159.03,953.41,154.51,119.21,-444.50,120029.25,27.57,8.09,2.68,5.04,41.22,5.17,1.05,0.29,128.62,-594.50,164247.42,24.49,10.44,1.22,8.03,48.69,1.97,3.34,0.54
2025-05-23 00:04:00,0.00,0.00,0.00,84.78,85.30,-14.63,21.20,81.72,82.38,453.31,457.64,305.15,300.48,448.01,480.05,0.00,0.00,0.00,0.00,1047.93,1090.00,1030.45,1056.13 ,1096.75,1169.12,1101.85,1122.57 ,1089.35 ,955.22,1062.25,1052.72,1023.40 ,972.93,1090.08,1071.25,1044.75 ,1034.08 ,-244.25,,-150.82,12.94,26.97,23.85,65.28,58.96,13.42,25.36,23.29,67.03,65.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06,26.51,24.98,77.10,60.74,13.46,28.00,27.74,70.79,65.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.74,140.57,0.00,9.78,130.83,0.00,35.01,53.79,100.21,0.00,0.00,0.00,39.07,55.23,100.07,0.00,0.00,0.00,1.83,67872.44,89.76,2764.76,106712.99,157.90,0.00,2973.09,113888.84,152.00,0.00,36057.14,2.60,3.40,95.75,67.20,67.90,3.70,3.30,39.58,63.40,63.30,169.83,165.49,1074.18,0.00,0.00,178.51,194.01,1060.60,0.00,0.00,24.90,175.80,175.00,25.10,176.20,174.40,0.02,14.68,14.56,5959.00,6701.00,2386.00,0.00,0.00,0.00,1037.33,159.20,954.86,154.60,119.25,-444.50,120707.79,27.47,8.57,2.51,8.78,46.10,10.38,0.84,0.26,128.60,-518.00,176320.69,24.56,10.83,1.83,10.21,51.72,0.00,3.41,0.66
2025-05-23 00:06:00,0.00,0.00,0.00,167.46,167.00,-14.52,33.79,166.35,166.48,573.64,574.61,424.62,425.15,571.49,621.44,0.00,0.00,0.00,0.00,1050.85,1091.05,1030.97,1057.62 ,1091.88,1177.90,1111.00,1126.93 ,1092.28 ,953.05,1057.00,1058.80,1022.95 ,966.03,1088.50,1068.85,1041.13 ,1032.04 ,-256.29,,-118.06,14.07,27.17,17.17,62.21,62.97,14.64,25.94,17.38,61.05,65.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.85,26.12,24.50,77.83,59.15,13.79,26.90,26.67,69.24,66.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.87,162.73,0.00,9.90,131.38,0.00,35.01,53.16,100.21,0.00,0.00,0.00,39.07,55.23,100.06,0.00,0.00,0.00,1.83,67882.69,89.76,2756.08,107291.70,157.73,0.00,2977.43,113888.84,152.08,0.00,36057.14,2.60,3.30,95.75,67.10,67.70,3.70,3.20,39.58,63.50,63.30,169.83,165.49,1080.81,0.00,0.00,178.51,194.01,1061.54,0.00,0.00,24.90,174.80,175.10,25.30,177.00,174.70,0.02,14.68,14.57,5959.00,6702.00,2387.00,0.00,0.00,0.00,1008.39,159.20,960.65,154.51,119.24,-424.50,114652.27,27.44,8.53,2.02,10.72,49.96,3.51,1.02,0.29,128.62,-651.00,160962.92,24.50,10.90,1.37,10.02,50.60,0.00,3.58,0.52
2025-05-23 00:08:00,0.00,0.00,0.00,260.88,260.43,-14.52,117.45,258.58,260.34,692.46,691.69,540.61,542.99,694.54,683.29,0.00,0.00,0.00,0.00,1051.38,1092.32,1033.00,1058.90 ,1076.20,1141.30,1098.62,1105.37 ,1082.14 ,952.53,1039.07,1040.35,1010.65 ,953.20,1081.52,1062.85,1032.52 ,1021.59 ,-290.36,,-176.87,14.03,27.47,18.14,61.10,65.65,14.39,26.23,19.37,64.86,66.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.79,26.33,24.65,78.61,58.23,13.44,26.82,26.29,70.36,63.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.84,155.47,0.00,9.80,127.60,0.00,35.01,53.43,100.21,0.00,0.00,0.00,39.07,55.47,100.06,0.00,0.00,0.00,1.83,67892.09,89.76,2736.55,107291.70,157.64,0.00,2966.58,113888.84,152.08,0.00,36057.14,2.60,3.30,95.75,67.30,67.60,3.60,3.20,39.58,63.40,63.30,169.83,165.49,1075.38,0.00,0.00,178.51,194.11,1049.80,0.00,0.00,24.80,175.70,174.10,25.20,177.00,175.60,0.02,14.68,14.56,5959.00,6702.00,2387.00,0.00,0.00,0.00,985.24,158.94,928.82,154.51,119.25,-447.00,114074.08,27.47,8.38,2.77,18.52,42.90,12.63,1.02,0.32,128.61,-665.50,164775.47,24.31,10.92,1.87,13.23,50.43,0.00,3.33,0.43
2025-05-23 00:10:00,0.00,0.00,0.00,355.07,356.13,-16.58,208.92,355.70,355.06,802.70,803.13,651.29,651.93,803.27,802.43,0.00,0.00,0.00,0.00,1050.25,1093.68,1034.12,1059.35 ,1087.38,1144.82,1079.88,1104.03 ,1081.69 ,951.03,1029.92,1044.85,1008.60 ,945.25,1078.38,1058.20,1027.28 ,1017.94 ,-210.50,,-103.95,13.80,26.72,18.32,63.28,64.82,14.05,25.53,18.84,65.27,64.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.86,26.10,24.90,77.84,60.23,13.48,27.66,26.07,68.72,65.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.78,152.58,0.00,9.87,127.32,0.00,35.01,53.78,100.21,0.00,0.00,0.00,39.07,55.40,100.07,0.00,0.00,0.00,1.83,67901.50,89.76,2779.95,107291.70,157.29,0.00,2994.79,113888.84,152.08,0.00,36057.14,2.60,3.30,95.75,66.70,67.10,3.60,3.20,39.58,63.20,63.00,169.83,165.49,1069.49,0.00,0.00,178.51,194.11,1044.29,0.00,0.00,24.90,175.10,175.10,25.10,176.80,174.80,0.02,14.69,14.56,5959.00,6703.00,2388.00,0.00,0.00,0.00,1028.65,158.42,949.07,154.43,118.94,-440.00,124346.59,26.83,11.17,2.93,6.99,61.73,4.29,1.38,0.39,128.52,-600.50,151069.38,24.18,11.54,2.24,15.83,52.67,0.00,3.88,0.50
2025-05-23 00:12:00,0.00,0.00,0.00,451.75,453.46,-14.52,303.32,451.84,451.63,259.08,6.04,-12.88,153.78,334.30,329.99,0.00,0.00,0.00,0.00,1052.88,1094.57,1033.67,1060.37 ,1095.02,1169.20,1076.12,1113.45 ,1086.91 ,950.88,1045.00,1042.22,1012.70 ,950.05,1081.00,1054.53,1028.53 ,1020.61 ,-218.43,,-120.33,13.85,26.57,18.23,65.87,64.59,14.14,25.73,18.65,67.54,64.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.07,26.35,24.78,78.48,60.74,13.24,27.51,26.20,71.13,64.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.69,150.62,0.00,9.79,124.84,0.00,35.00,53.58,100.21,0.00,0.00,0.00,39.07,55.40,100.07,0.00,0.00,0.00,1.83,67910.76,89.76,2777.78,107291.70,157.20,0.00,2981.77,113888.84,152.34,0.00,36057.14,2.60,3.30,95.75,66.40,66.80,3.60,3.20,39.58,63.20,63.00,169.83,165.49,1074.29,0.00,0.00,178.51,194.11,1048.30,0.00,0.00,24.80,175.20,174.20,25.20,176.70,175.60,0.02,14.69,14.54,5959.00,6703.00,2388.00,0.00,0.00,0.00,1004.05,158.33,985.24,154.60,118.83,-443.00,124816.47,26.35,9.44,2.12,4.52,48.91,3.01,0.67,0.32,128.60,-535.00,167121.38,23.81,11.07,2.16,13.83,46.65,0.00,3.38,0.40
2025-05-23 00:14:00,0.00,0.00,0.00,550.27,550.58,-14.85,398.15,549.49,549.18,413.60,1.70,-10.50,271.83,397.02,403.88,0.00,0.00,0.00,0.00,1056.47,1095.55,1034.28,1062.10 ,1073.57,1169.50,1082.58,1108.55 ,1085.33 ,951.25,1057.75,1053.62,1020.87 ,956.43,1090.00,1062.62,1036.35 ,1028.61 ,-219.7,,-166.12,15.94,26.84,16.63,64.65,62.98,15.91,25.20,17.34,65.64,64.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.98,26.52,25.07,79.43,59.49,13.25,28.19,26.95,72.56,66.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.70,154.38,0.00,9.88,131.28,0.00,35.00,53.41,100.21,0.00,0.00,0.00,39.07,54.97,100.06,0.00,0.00,0.00,1.83,67918.47,89.76,2758.25,107291.70,157.12,0.00,2996.96,113888.84,152.43,0.00,36057.14,2.60,3.30,95.75,66.30,66.70,3.60,3.20,39.58,63.30,63.30,169.83,165.49,1070.12,0.00,0.00,178.51,194.11,1059.89,0.00,0.00,25.30,174.80,174.60,25.20,176.80,175.00,0.02,14.69,14.57,5959.00,6704.00,2389.00,0.00,0.00,0.00,979.46,158.42,954.86,154.95,118.90,-434.50,124701.43,26.41,8.92,2.66,4.33,48.55,2.88,1.28,0.37,128.77,-553.00,165716.97,24.46,10.63,1.33,15.87,49.85,0.00,3.21,0.31
2025-05-23 00:16:00,0.00,0.00,0.00,646.30,645.30,-14.41,495.16,643.35,646.73,563.12,4.41,-12.12,416.04,556.20,558.18,0.00,0.00,0.00,0.00,1056.18,1096.53,1033.75,1062.15 ,1081.07,1165.97,1085.80,1110.95 ,1086.55 ,950.80,1059.47,1063.53,1024.60 ,956.95,1098.40,1071.18,1042.18 ,1033.39 ,-244.26,,-142.14,15.97,27.04,16.74,63.48,64.42,16.00,26.00,17.24,65.03,66.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.80,26.25,24.61,78.75,59.77,13.87,26.99,26.21,69.53,63.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.72,155.21,0.00,9.87,124.14,0.00,35.01,53.84,100.21,0.00,0.00,0.00,39.07,54.99,100.07,0.00,0.00,0.00,1.83,67918.47,89.76,2758.25,107291.70,157.03,0.00,2970.92,113888.84,152.78,0.00,36057.14,2.60,3.30,95.75,66.10,66.60,3.60,3.20,39.58,63.50,63.70,169.92,165.49,1071.06,0.00,0.00,178.51,194.11,1065.18,0.00,0.00,25.20,174.80,174.60,25.00,176.30,175.70,0.02,14.70,14.58,5959.00,6704.00,2389.00,0.00,0.00,0.00,1018.52,158.42,938.95,155.30,118.90,-438.00,133684.72,26.42,9.70,2.82,3.43,55.41,4.13,1.16,0.35,128.93,-611.50,162974.27,24.80,10.13,1.33,16.18,47.82,0.00,3.50,0.35
2025-05-23 00:18:00,0.00,0.00,0.00,741.24,739.49,-15.50,592.27,740.57,741.78,705.70,5.82,-9.63,556.34,702.25,699.56,0.00,0.00,0.00,0.00,1059.62,1097.80,1034.12,1063.85 ,1114.07,1175.35,1084.45,1124.62 ,1094.24 ,949.97,1068.70,1052.88,1023.85 ,956.50,1104.40,1066.00,1042.30 ,1033.08 ,-218.43,,-152.89,15.90,26.65,16.72,64.61,64.84,16.11,25.39,17.19,65.88,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,26.89,21.20,78.48,59.27,13.49,27.60,23.99,70.30,62.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.74,154.74,0.00,9.98,128.80,0.00,35.00,53.37,100.21,0.00,0.00,0.00,39.07,55.21,100.07,0.00,0.00,0.00,1.83,67918.47,89.76,2096.35,107291.70,156.86,0.00,2973.09,113888.84,152.78,0.00,36057.14,2.60,3.30,95.75,66.00,66.50,3.60,3.20,39.58,63.80,63.80,169.92,165.49,1086.85,0.00,0.00,178.51,194.11,1062.40,0.00,0.00,25.30,174.70,174.60,25.10,176.30,174.80,0.02,14.69,14.58,5959.00,6705.00,2390.00,0.00,0.00,0.00,1004.05,158.59,917.25,155.38,118.82,-434.00,118103.66,26.13,9.64,2.50,3.77,55.04,3.23,0.99,0.29,128.97,-636.00,169364.75,24.99,10.28,1.30,18.18,49.33,0.05,3.83,0.41
