数据时间,改1#垃圾实时重量,改2#垃圾实时重量,DCS系统时间 时,DCS系统时间 分,DCS系统时间 秒,推料器1列1#小车位置,推料器1列2#小车位置,推料器2列1#小车位置,推料器2列2#小车位置,辅助燃烧器运行信号,炉膛上部温度,炉膛中部温度,,炉膛压力,,一次风机频率反馈,一次风机电流反馈,一次风机运行信号,二次风机频率反馈,二次风机电流反馈,二次风机运行信号,引风机频率反馈,引风机电流反馈,引风门开度反馈,引风机运行信号,氢氧化钙喷射量,氢氧化钙称重,氢氧化钙电机运行信号/开关阀信号_1,氢氧化钙电机运行信号/开关阀信号_2,半干法石灰浆浓度,半干法雾化石灰浆流量,半干法生石灰称重,半干法反应塔温度,雾化石灰浆电机运行信号_1,雾化石灰浆电机运行信号_2,SNCR还原剂流量,SNCR炉膛出口温度,SNCR运行信号,1#活性炭重量累计,2#活性炭重量累计,活性炭电机运行信号,布袋除尘进出口压差,布袋除尘器温度,布袋除尘器运行信号,烟气温度,烟气压力,烟气流量,烟气湿度,烟气O2,烟气粉尘,烟气SO2,烟气Nox,烟气CO,烟气HCL
2025-05-23 00:00:00,0.00,1.20,23.00,59.00,59.00,831.00,806.00,836.00,808.00,0.00,988.84,939.10,963.97,-42.68,,26.82,83.25,1.00,2.23,43.11,1.00,30.08,7.44,83.99,1.00,4.89,52231.47,1.00,0.00,1435.93,1.37,43862.32,141.06,1.00,1.00,95.76,939.10,1.00,0.00,42088.99,1.00,1363.06,123.98,1.00,121.61,-42.68,38403.45,21.87,10.72,4.21,56.36,98.81,0.04,5.13
2025-05-23 00:02:00,0.00,3.50,0.00,1.00,59.00,1101.00,1079.00,1105.00,1076.00,0.00,989.96,941.37,965.665,-45.56,,26.81,83.58,1.00,2.22,37.30,1.00,29.85,7.53,83.97,1.00,4.88,52231.63,1.00,0.00,1435.93,1.37,43862.37,141.47,1.00,1.00,92.56,941.37,1.00,0.00,42088.99,1.00,1341.32,124.56,1.00,121.99,-45.56,37748.19,20.67,10.44,4.01,79.95,78.33,0.04,5.52
2025-05-23 00:04:00,0.00,0.10,0.00,3.00,59.00,1373.00,1355.00,1367.00,1329.00,0.00,990.57,940.42,965.495,-45.52,,26.77,83.58,1.00,2.29,39.75,1.00,30.16,7.12,83.99,1.00,4.88,52231.80,1.00,0.00,1435.14,1.38,43862.41,141.72,1.00,1.00,214.46,940.42,1.00,0.00,42088.99,1.00,1374.58,125.10,1.00,122.38,-45.52,38153.31,20.95,10.57,4.21,63.06,94.52,0.04,5.67
2025-05-23 00:06:00,0.00,0.10,0.00,5.00,59.00,0.00,-24.00,0.00,-20.00,0.00,991.27,938.09,964.68,-38.90,,26.79,83.59,1.00,2.27,67.26,1.00,29.76,7.68,83.97,1.00,4.93,52231.93,1.00,0.00,1437.18,1.39,43862.45,142.10,1.00,1.00,91.26,938.21,1.00,0.00,42088.99,1.00,1335.90,125.52,1.00,122.83,-38.90,37103.41,21.89,10.60,4.09,62.49,107.34,0.07,5.83
2025-05-23 00:08:00,0.00,0.10,0.00,7.00,39.00,0.00,-24.00,0.00,-20.00,0.00,991.91,938.72,965.315,-50.64,,26.83,83.21,1.00,2.15,42.88,1.00,30.13,7.65,83.97,1.00,4.92,52232.11,1.00,0.00,1437.78,1.37,43862.50,142.26,1.00,1.00,21.06,938.91,1.00,0.00,42088.99,1.00,1362.36,126.06,1.00,123.26,-50.64,37928.88,21.24,10.56,4.17,57.50,134.83,0.07,6.21
2025-05-23 00:10:00,0.00,0.10,0.00,9.00,49.00,287.00,268.00,293.00,267.00,0.00,993.03,936.17,964.6,-48.30,,26.80,83.23,1.00,2.27,40.06,1.00,29.48,7.09,83.99,1.00,4.91,52232.29,1.00,0.00,1434.49,1.96,43862.56,142.36,1.00,1.00,87.59,935.82,1.00,0.00,42088.99,1.00,1317.15,126.50,1.00,123.82,-48.30,37782.37,20.84,10.40,3.73,83.25,112.89,0.07,7.26
2025-05-23 00:12:00,0.00,3.40,0.00,11.00,59.00,557.00,541.00,565.00,532.00,0.00,994.08,933.56,963.82,-53.95,,26.87,83.23,1.00,2.27,57.95,1.00,29.77,6.54,83.96,1.00,4.90,52232.45,1.00,0.00,1435.14,1.96,43862.63,140.97,1.00,1.00,107.57,933.56,1.00,0.00,42088.99,1.00,1344.51,126.83,1.00,123.93,-53.95,37485.88,20.83,10.85,4.24,37.33,75.33,0.04,6.95
2025-05-23 00:14:00,0.00,3.60,0.00,13.00,59.00,557.00,541.00,565.00,532.00,0.00,994.98,926.58,960.78,-56.21,,26.79,83.73,1.00,2.27,67.62,1.00,29.71,6.88,83.98,1.00,4.89,52232.61,1.00,0.00,1437.78,1.97,43862.69,138.95,1.00,1.00,78.69,926.58,1.00,0.00,42088.99,1.00,1350.56,127.03,1.00,124.40,-56.21,37189.87,21.37,10.85,4.23,20.23,90.10,0.04,5.77
2025-05-23 00:16:00,0.00,0.00,0.00,15.00,59.00,827.00,813.00,833.00,795.00,0.00,994.11,922.94,958.525,-43.08,,26.85,83.41,1.00,2.22,67.91,1.00,29.75,8.10,83.99,1.00,4.91,52232.78,1.00,0.00,1435.14,1.94,43862.76,136.85,1.00,1.00,3.20,922.75,1.00,0.00,42088.99,1.00,1349.10,127.06,1.00,124.38,-43.08,37559.05,20.58,11.18,4.08,18.00,98.67,0.04,5.12
2025-05-23 00:18:00,0.00,0.00,0.00,17.00,59.00,968.00,953.00,997.00,957.00,0.00,993.38,920.68,957.03,-9.01,,26.73,83.78,1.00,2.29,45.84,1.00,29.68,7.94,83.96,1.00,4.90,52232.94,1.00,0.00,1437.18,1.95,43862.82,135.21,1.00,1.00,99.15,920.68,1.00,0.00,42088.99,1.00,1348.12,126.94,1.00,124.38,-9.01,37071.04,20.99,11.05,4.09,19.79,84.01,0.04,5.04
