数据时间,1#炉膛上部温度,1#炉膛中部温度,2#炉膛上部温度,2#炉膛中部温度,3#炉膛上部温度,3#炉膛中部温度,1#炉炉膛负压,2#炉膛负压,3#炉膛压力,1#炉一次风机速度反馈,1#炉一次风机已运行,2#炉一次风机速度反馈,2#炉一次风机已运行,3#炉一次风机速度反馈,3#炉一次风机已运行,1#炉二次风机速度反馈,1#炉二次风机已运行,2#炉二次风机速度反馈,2#炉二次风机已运行,3#炉二次风机速度反馈,3#炉二次风机已运行,1#炉引风机速度反馈,1#炉引风机已运行,2#炉引风机速度反馈,2#炉引风机已运行,3#炉引风机速度反馈,3#SNCRz除盐水流量,3#SNC尿素溶液流量,1#炉雾化石灰浆流量,2#炉雾化石灰浆流量,3#炉雾化石灰浆流量,1#炉SNCR炉膛出口温度,2#炉SNCR炉膛出口温度,3#炉SNCR炉膛出口温度,1#炉布袋除尘器压差,1#炉布袋除尘器入口温度,2#炉布袋除尘器压差,2#炉布袋除尘器入口温度,3#炉布袋除尘器压差,3#炉布袋除尘器入口温度,1#炉烟气温度,1#炉烟气压力,1#炉烟气流量,1#炉烟气湿度,1#炉烟气O2,1#炉烟气KLW（折算）,1#炉烟气SO2（折算）,1#炉烟气NOX（折算）,1#炉烟气CO（折算）,1#炉烟气HCL（折算）,2#炉烟气温度,2#炉烟气压力,2#炉烟气流量,2#炉烟气湿度,2#炉烟气O2,2#炉烟气KLW（折算）,2#炉烟气SO2（折算）,2#炉烟气NOX（折算）,2#炉烟气CO（折算）,2#炉烟气HCL（折算）,3#炉烟气温度,3#炉烟气压力,3#炉烟气流速,3#炉烟气湿度,3#炉烟气O2,3#炉烟气粉尘（折算）,3#炉烟气SO2（折算）,3#炉烟气NOX（折算）,3#炉烟气CO（折算）,3#炉烟气HCL（折算）
2025-05-23 00:00:00,1024.01,1137.95,1038.44,1090.11,933.40,888.42,-261.90,-141.90,-39.30,32.55,1.00,16.64,1.00,49.57,1.00,26.91,1.00,27.63,0.00,37.50,1.00,46.42,1.00,21.15,1.00,39.44,0.00,29.37,2.00,2.00,5.00,943.28,1011.27,802.50,-3631.10,185.43,-2226.90,130.71,2517.55,189.40,158.89,-43.00,14.54,11.32,14.44,13.08,30.33,137.57,5.44,0.37,110.71,-87.00,16.61,12.67,11.83,3.50,277.15,55.65,275.23,4.40,161.34,1.25,17.30,16.61,11.80,5.50,0.00,89.97,0.71,1.00
2025-05-23 00:02:00,1026.42,1126.12,1034.28,1080.95,934.44,885.36,-148.45,-161.00,-51.10,32.56,1.00,16.45,1.00,49.58,1.00,26.91,1.00,27.63,0.00,37.51,1.00,46.43,1.00,21.15,1.00,39.44,0.00,29.67,6.00,3.00,2.00,969.21,1018.81,790.68,-3621.35,185.34,-2259.25,130.82,2512.65,189.72,159.01,-81.00,14.14,11.32,13.42,11.31,41.08,125.42,10.65,0.32,111.29,-87.00,14.94,12.19,11.98,3.75,287.21,70.90,285.22,4.45,161.57,0.00,18.01,16.34,12.15,5.85,0.45,103.29,0.63,1.14
2025-05-23 00:04:00,1032.33,1133.53,1033.89,1083.22,940.22,897.84,-148.45,-161.00,-63.90,32.56,1.00,16.45,1.00,49.59,1.00,26.91,1.00,27.63,0.00,37.53,1.00,46.43,1.00,21.15,1.00,39.45,0.00,29.70,0.00,1.00,2.00,969.21,1018.81,771.54,-3618.90,185.85,-2260.00,130.80,2544.30,190.69,159.01,-81.00,14.14,11.32,13.42,10.86,50.02,132.72,7.94,0.31,111.29,-87.00,14.94,12.19,11.98,3.58,248.12,52.97,285.55,4.45,162.02,0.00,12.65,16.94,11.19,4.79,97.30,80.61,2.32,1.96
2025-05-23 00:06:00,1031.42,1142.51,1042.15,1091.87,939.90,893.68,-189.35,-154.65,10.95,32.56,1.00,16.96,1.00,49.58,1.00,26.91,1.00,27.63,0.00,37.51,1.00,46.45,1.00,21.15,1.00,39.45,0.00,29.37,0.00,7.00,6.00,955.50,1010.29,773.76,-3620.75,186.07,-2287.35,130.80,2562.35,190.87,159.01,-65.00,13.92,11.32,14.46,12.64,45.27,115.40,6.75,0.36,111.51,-88.00,15.23,12.41,11.45,3.59,275.38,53.74,273.07,4.39,162.32,0.00,17.90,16.81,11.89,5.79,96.52,98.98,0.61,1.70
2025-05-23 00:08:00,1016.02,1157.26,1047.47,1104.35,941.40,907.72,-187.25,-153.50,-15.30,32.56,1.00,16.98,1.00,49.59,1.00,26.92,1.00,27.63,0.00,37.51,1.00,46.42,1.00,21.15,1.00,41.29,0.00,29.68,5.00,4.00,0.00,918.71,991.51,771.72,-3636.30,186.18,-2274.90,130.82,2726.43,191.70,159.01,-5.00,13.70,11.32,15.28,14.26,35.28,87.55,6.03,0.40,112.20,-95.00,15.24,11.22,11.55,3.52,278.41,57.73,276.07,4.41,162.69,0.00,16.48,17.46,10.99,4.94,41.87,68.59,17.18,0.84
2025-05-23 00:10:00,994.63,1134.77,1043.70,1097.14,941.72,925.60,-201.70,-155.95,-69.10,32.55,1.00,16.95,1.00,49.60,1.00,26.91,1.00,27.63,0.00,37.53,1.00,46.43,1.00,21.15,1.00,41.42,0.00,29.67,3.00,0.00,4.00,897.78,981.43,766.68,-3606.75,186.30,-2275.70,130.50,2746.02,192.74,159.01,-60.00,14.51,11.32,15.46,15.23,34.07,99.09,8.05,0.43,112.32,-87.00,13.37,11.19,11.56,3.57,278.15,57.68,275.81,4.41,163.67,0.00,18.25,17.15,11.30,5.05,39.89,83.71,17.89,1.12
2025-05-23 00:12:00,985.66,1123.72,1029.21,1080.30,948.55,926.97,-147.35,-155.95,-43.25,32.56,1.00,16.97,1.00,49.60,1.00,26.92,1.00,27.63,0.00,39.51,1.00,43.92,1.00,21.15,1.00,41.43,0.00,29.45,2.00,0.00,2.00,879.64,975.39,771.90,-3540.25,186.07,-2285.75,130.32,2793.10,193.88,159.01,-52.00,13.78,11.32,15.30,15.72,27.93,85.65,15.03,0.62,112.32,-96.00,14.05,11.06,11.90,3.67,279.36,57.79,285.55,4.45,164.21,0.00,18.57,16.51,11.58,5.31,100.00,94.51,17.42,0.84
2025-05-23 00:14:00,982.02,1113.12,1014.00,1065.35,948.22,918.77,-112.55,-143.60,-28.40,32.56,1.00,16.96,1.00,49.58,1.00,26.93,1.00,27.63,0.00,39.51,1.00,43.94,1.00,21.15,1.00,41.45,0.00,29.79,1.00,0.00,4.00,876.91,972.27,788.28,-3536.55,185.85,-2278.60,130.32,2790.70,195.35,158.79,-83.00,13.64,11.32,15.60,13.24,26.67,86.75,9.80,0.52,112.20,-110.00,14.16,10.69,11.82,3.50,268.16,52.47,282.84,4.44,164.70,0.00,15.27,16.76,11.85,5.58,69.25,112.08,0.55,2.78
2025-05-23 00:16:00,969.34,1093.76,1002.88,1049.82,948.41,904.73,-161.05,-133.85,-60.40,32.55,1.00,17.34,1.00,49.59,1.00,26.91,1.00,27.63,0.00,39.49,1.00,43.90,1.00,21.15,1.00,41.42,0.00,29.47,4.00,0.00,5.00,873.53,967.66,798.84,-3563.40,185.16,-2264.95,130.32,2787.77,196.20,158.33,-85.00,13.80,11.32,14.47,14.99,28.60,79.83,14.44,0.45,112.77,-110.00,15.77,12.70,11.65,3.83,250.78,50.54,282.49,4.44,165.15,0.00,18.89,16.34,11.81,5.01,28.18,112.27,0.85,1.71
2025-05-23 00:18:00,956.60,1016.79,976.63,1000.80,946.66,894.79,-188.50,-127.85,-48.95,29.30,1.00,17.77,1.00,49.61,1.00,21.94,1.00,27.63,0.00,39.51,1.00,42.69,1.00,21.15,1.00,41.45,0.00,29.78,4.00,2.00,5.00,840.90,946.01,797.04,-3423.50,184.41,-2309.85,130.32,2765.20,196.54,157.76,-60.00,12.93,11.32,15.75,15.56,24.05,83.39,28.28,0.62,113.68,-118.00,14.98,10.79,12.49,3.79,255.24,67.90,292.55,4.49,165.56,0.00,16.32,16.29,12.04,5.82,13.65,129.34,0.01,0.58
