数据时间,投料风机频率反馈,投料风机电流反馈,投料推料器运行信号,辅助燃烧器运行信号,炉膛上部温度,炉膛中部温度,炉膛压力,一次风机频率反馈,一次风机电流反馈,一次风机运行信号,二次风机频率反馈,二次风机电流反馈,二次风机运行信号,引风机风门开度反馈,引风机运行信号,氢氧化钙喷射量,氢氧化钙电机运行信号,石灰浆浓度,雾化石灰浆流量,反应塔温度,雾化石灰浆开关阀信号,湿法塔PH,湿式洗涤塔氢氧化钠流量,湿法塔温度,雾化器电机电流,SNCR还原剂流量,SNCR炉膛出口温度,SNCR运行信号,SCR氨逃逸量,SCR还原剂流量,SCR反应器进口温度,SCR反应器出口温度,SCR设备运行信号,活性炭喷射量,活性炭电机运行信号,布袋进出口压差,布袋除尘器温度,布袋除尘器运行信号,烟气温度,烟气压力,烟气干基流量,烟气湿度,烟气O2,烟气粉尘,烟气SO2,烟气Nox,烟气CO,烟气HCL
2025-07-03 00:00:00,49.98,24.06,1.00,--,1019.94,1051.57,-250.69,-0.48,-0.58,1.00,64.41,14.21,0.00,100.44,1.00,0.07,0.00,10.00,2440.88,155.05,--,6.38,0.15,67.24,37.10,31.51,224.65,1.00,3.91,13.01,185.04,170.37,--,7.52,1.00,894.91,144.01,1.00,120.02,-131.48,66720.38,24.90,6.96,1.97,9.31,58.60,0.22,3.68
2025-07-03 00:02:00,49.98,25.70,1.00,--,1019.94,1050.62,-232.57,-0.52,-0.60,1.00,64.47,14.37,0.00,100.44,1.00,0.08,0.00,10.00,2275.82,155.19,--,6.36,0.15,67.55,37.10,31.23,224.37,1.00,3.83,12.87,185.02,170.37,--,7.78,1.00,919.68,143.98,1.00,120.05,-133.10,65768.28,25.86,7.26,1.87,10.38,60.29,0.22,3.47
2025-07-03 00:04:00,49.98,25.07,1.00,--,1026.17,1056.32,-259.51,-0.54,-0.60,1.00,64.10,14.19,0.00,100.44,1.00,0.08,0.00,10.00,2448.53,155.65,--,6.40,0.17,67.96,36.90,31.51,224.40,1.00,3.70,13.22,184.95,170.45,--,7.04,1.00,887.04,144.15,1.00,120.12,-138.66,65012.37,26.60,6.68,1.93,12.97,61.24,0.20,3.56
2025-07-03 00:06:00,49.99,25.23,1.00,--,1033.86,1064.38,-238.33,-0.57,-0.70,1.00,64.02,14.70,0.00,100.44,1.00,0.09,0.00,10.00,2504.37,155.31,--,6.40,0.18,68.22,37.00,31.44,224.43,1.00,3.87,12.94,185.08,170.45,--,7.47,1.00,886.46,143.97,1.00,120.16,-140.97,63698.77,27.15,6.27,1.85,22.51,48.07,8.28,3.78
2025-07-03 00:08:00,49.97,24.83,1.00,--,1040.43,1072.75,-212.78,-0.59,-0.67,1.00,64.48,14.48,0.00,100.44,1.00,0.08,0.00,10.00,2361.16,155.17,--,6.33,0.18,68.13,36.80,25.68,224.46,1.00,4.26,12.78,185.20,170.40,--,7.78,1.00,887.73,144.16,1.00,120.24,-137.96,64502.61,27.09,6.68,1.91,32.07,51.60,0.20,3.78
2025-07-03 00:10:00,49.99,25.39,1.00,--,1044.94,1078.59,-228.61,-0.59,-0.70,1.00,64.50,14.48,0.00,100.45,1.00,0.08,0.00,10.00,2437.19,155.12,--,6.28,0.18,67.88,36.80,25.49,224.65,1.00,4.18,13.17,185.28,170.29,--,8.42,1.00,916.67,143.83,1.00,120.12,-134.03,65542.51,26.54,6.67,1.86,29.68,66.88,0.22,4.01
2025-07-03 00:12:00,49.98,25.60,1.00,--,1047.67,1082.79,-212.71,-0.60,-0.70,1.00,64.54,14.53,0.00,100.44,1.00,0.06,0.00,10.00,2349.71,154.84,--,6.25,0.20,67.77,37.10,25.44,224.68,1.00,4.29,13.22,185.35,170.26,--,7.44,1.00,938.66,143.72,0.00,120.05,-140.97,65336.70,26.54,6.67,1.90,31.67,67.35,0.20,4.13
2025-07-03 00:14:00,49.99,25.78,1.00,--,1049.94,1085.39,-204.93,-0.61,-0.73,1.00,64.95,14.79,0.00,100.44,1.00,0.08,0.00,10.00,2341.73,154.58,--,6.24,0.16,67.57,37.00,25.58,224.56,1.00,4.32,13.06,185.41,170.26,--,7.65,1.00,929.40,143.72,0.00,120.02,-139.35,66995.70,26.30,6.81,1.97,28.76,73.56,0.22,4.11
2025-07-03 00:16:00,49.99,24.56,1.00,--,1053.81,1087.56,-190.69,-0.62,-0.76,1.00,64.95,14.66,0.00,100.44,1.00,0.07,0.00,10.00,2333.96,155.03,--,6.22,0.16,67.51,37.10,25.35,224.56,1.00,4.03,12.82,185.33,170.33,--,7.03,1.00,923.61,143.53,1.00,120.07,-132.41,66080.41,26.12,6.68,2.00,28.19,78.78,0.20,4.13
2025-07-03 00:18:00,49.98,24.98,1.00,--,1057.95,1090.29,-224.79,-0.62,-0.73,1.00,64.90,14.64,0.00,100.44,1.00,0.07,0.00,10.00,2380.27,155.35,--,6.18,0.16,67.88,36.90,25.35,224.46,1.00,4.05,13.08,185.21,170.47,--,7.48,1.00,911.69,143.36,1.00,120.14,-134.72,65930.98,26.74,6.42,1.98,40.86,63.44,0.22,4.43
