序号,预警类型,预警规则,依据,数据采集点位,备注
1,瞬时低炉温焚烧,"正常工况下，1.时间划分：以自然日零点为起始点，按5分钟间隔划分时间。
2.温度计算：对焚烧炉炉膛的中部和上部两个断面，各自取所有热电偶测量温度的中位数。
计算这两个中位数的算术平均值，作为该断面的代表温度。
3.以5分钟为一个时间窗口，计算温度累计平均值。
5.当温度累计平均值低于850℃开始预警（记录一条预警记录），直至温度高于850℃或5分钟窗口预警结束。",《生活垃圾焚烧发电厂自动监测数据应用管理规定》《HJ1307》垃圾焚烧厂正常工况下焚烧炉炉膛内热电偶测量温度的五分钟均值低于850℃，一个自然日内累计超过5次的，认定为“未按照国家有关规定采取有利于减少持久性有机污染物排放的技术方法和工艺”.《生活垃圾焚烧发电厂自动监测数据标记规则》以焚烧炉炉膛内热电偶测量温度的5分钟平均值计，即焚烧炉炉膛内中部和上部两个断面各自热电偶测量温度中位数算术平均值的5分钟平均值。,1号炉：U1、V1、W1、X1、Y1、Z1、二号炉：AA1、AB1、AC1、AD1、AE1、AF1,删除正常工况判断，1号炉膛上部温度=(U1+V1+W1)/3、1号炉膛中部温度=(X1+Y1+Z1)/3、2号炉膛上部温度=(AA1+AB1+AC1)/3、2号炉膛中部温度=(AD1+AE1+AF1)/3、
5,炉膛温度偏高,"正常工况下，以一个自然日零点为起始计算点，以1小时为时间间隔进行划分计算焚烧炉炉膛内温度（上炉膛和中炉膛热电偶测量温度的平均值）计算1小时均值，高于1200 ℃，发出预警,并进行下一个小时的判断。",《HJ1307》一般来说，炉膛内烟气携流飞灰的变形温度约为1150 ℃、软化温度约为1200 ℃、流动温度约为1220 ℃，为避免锅炉受热面结焦，炉温一般控制在1200 ℃以下。,,
6,炉膛温度过高,"正常工况下，以一个自然日零点为起始计算点，以1小时为时间间隔进行划分计算焚烧炉炉膛内温度（上炉膛和中炉膛热电偶测量温度的平均值）计算1小时均值，高于1300 ℃，发出预警,并进行下一个小时的判断。",《HJ1307》《热电偶 第 1 部分：电动势规范和允差》（GB/T 16839.1—2018）炉膛内焚烧温度过高，超出了热电偶的有效温度范围，温度测量不准确。,,
7,焚烧工况不稳定,故障连续时长大于4小时或事故连续时长大于4小时，则发出预警，故障/事故发出一条。,"《HJ1307》焚烧炉工况标记中的“故障”“事故”标记次数明显多于同类型的生活垃圾焚烧发电厂、且持续时间偏短，可能是焚烧工况不稳定所导致，也可能是生活垃圾焚烧发电厂未如实标记。
炉排炉的“启炉”标记时长范围一般为40 min～4 h，流化床的“启炉”标记时长范围一般为20 min～4 h。
炉排炉的“停炉”标记时长范围一般为30 min～4 h，流化床的“停炉”标记时长范围一般为10 min～4 h。
故障和事故每次时长不应超过4小时，并应在自动监控系统中按要求说明。",删除该项预警规则,
8,布袋除尘器压力损失偏高,正常工况下，实时判断布袋除尘压差高于2000Pa发出预警信息，并开始计时，直至压差低于2000Pa，预警结束，并开始下一个预警的判断。,HJ2012除尘器宜在 1300Pa～2000Pa阻力范围内运行。,1号炉：EJ、二号炉：EL,删除正常工况判断，
9,布袋除尘器压力损失偏低,正常工况下，实时判断布袋除尘压差低于500Pa发出预警信息，并开始计时，直至压差高于500Pa，预警结束，并开始下一个预警的判断。,HJ2012除尘器宜在 1300Pa～2000Pa阻力范围内运行。,,删除正常工况判断，
12,焚烧炉出口氧含量偏高,正常工况下，实时判断焚烧炉出口氧含量，高于10%发出预警并开始计时，直至氧含量低于10%，预警结束，并开始下一个预警的判断。,《CJJT212》焚烧炉出口烟气氧含量应保持在6%-10%之间,1号炉：ER、二号炉：FC,删除正常工况判断，
13,焚烧炉出口氧含量偏低,正常工况下，实时判断焚烧炉出口氧含量，低于6%发出预警并开始计时，直至氧含量高于6%，预警结束，并开始下一个预警的判断。,《CJJT212》焚烧炉出口烟气氧含量应保持在6%-10%之间,,删除正常工况判断，
14,活性炭投加量不足,正常工况下，实时监控活性炭投加量，若投加量小于3.0kg/h，则发出预警信息，预警发出1min后若投加量仍小于3.0kg/h，则继续预警，直至活性炭投加量至正常范围,参照《生活垃圾焚烧厂评价标准》（CJJ/T 137—2019），使用粉末活性炭去除烟气特征污染物时，粉末活性炭的使用量不应小于50 mg/Nm3。,删除该项预警规则,删除正常工况判断，
17,烟气中颗粒物（PM）浓度较高,"1.污染物小时均值计算：以一个自然日零点为起始计算点，以1小时为时间间隔进行划分计算排放烟气中 颗粒物（PM）。
2.污染物限值：颗粒物（PM）≤30mg/m3。
3.超标判定：若小时均值超过限值，则触发预警。","《HJ1307》分析数据发现，烟气污染物(CO 除外)排放浓度接近或超出设定阈值与烟气净化系统不正常运行显著相关，说明烟气净化系统及控制水平有待提升或优化。
《GB18485》",1号炉：ES、二号炉：FD,删除正常工况判断，
