时间,炉号,预警/报警类型,预警/报警事件
2025-05-25 00:00:00,1,预警,1#炉氧含量异常（高）
2025-05-25 00:02:00,1,预警,1#炉氧含量异常（高）
2025-05-25 00:04:00,1,预警,1#炉氧含量异常（高）
2025-05-25 00:06:00,1,预警,1#炉氧含量异常（高）
2025-05-25 00:08:00,1,预警,1#炉氧含量异常（高）
2025-05-25 00:10:00,2,预警,2#炉氧含量异常（高）
2025-05-25 00:10:00,1,预警,1#炉氧含量异常（高）
2025-05-25 00:12:00,1,预警,1#炉氧含量异常（高）
2025-05-25 00:12:00,2,预警,2#炉氧含量异常（高）
2025-05-25 00:14:00,2,预警,2#炉氧含量异常（高）
2025-05-25 00:16:00,2,预警,2#炉氧含量异常（高）
2025-05-25 00:16:00,1,预警,1#炉氧含量异常（高）
2025-05-25 00:26:00,2,预警,2#炉氧含量异常（高）
2025-05-25 00:28:00,2,预警,2#炉氧含量异常（高）
2025-05-25 00:30:00,1,预警,1#炉氧含量异常（高）
2025-05-25 00:30:00,2,预警,2#炉氧含量异常（高）
2025-05-25 00:32:00,2,预警,2#炉氧含量异常（高）
2025-05-25 00:34:00,2,预警,2#炉氧含量异常（高）
2025-05-25 00:40:00,2,预警,2#炉氧含量异常（高）
2025-05-25 00:42:00,2,预警,2#炉氧含量异常（高）
2025-05-25 01:02:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:04:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:06:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:14:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:16:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:18:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:20:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:22:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:24:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:26:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:28:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:30:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:32:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:34:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:36:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:38:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:40:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:42:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:44:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:46:00,1,预警,1#炉氧含量异常（高）
2025-05-25 01:48:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:28:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:30:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:32:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:34:00,2,预警,2#炉氧含量异常（高）
2025-05-25 02:34:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:36:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:38:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:40:00,2,预警,2#炉氧含量异常（高）
2025-05-25 02:46:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:48:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:48:00,2,预警,2#炉氧含量异常（高）
2025-05-25 02:50:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:50:00,2,预警,2#炉氧含量异常（高）
2025-05-25 02:52:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:54:00,2,预警,2#炉氧含量异常（高）
2025-05-25 02:54:00,1,预警,1#炉氧含量异常（高）
2025-05-25 02:56:00,1,预警,1#炉氧含量异常（高）
2025-05-25 03:02:00,2,预警,2#炉氧含量异常（高）
2025-05-25 03:04:00,2,预警,2#炉氧含量异常（高）
2025-05-25 03:06:00,2,预警,2#炉氧含量异常（高）
2025-05-25 03:08:00,2,预警,2#炉氧含量异常（高）
2025-05-25 03:10:00,2,预警,2#炉氧含量异常（高）
2025-05-25 03:18:00,1,预警,1#炉氧含量异常（高）
2025-05-25 03:56:00,2,预警,2#炉氧含量异常（高）
2025-05-25 03:56:00,1,预警,1#炉氧含量异常（高）
2025-05-25 04:00:00,1,预警,1#炉氧含量异常（高）
2025-05-25 04:08:00,2,预警,2#炉氧含量异常（高）
2025-05-25 04:10:00,2,预警,2#炉氧含量异常（高）
2025-05-25 04:12:00,2,预警,2#炉氧含量异常（高）
2025-05-25 04:40:00,1,预警,1#炉氧含量异常（高）
2025-05-25 04:44:00,1,预警,1#炉氧含量异常（高）
2025-05-25 04:52:00,1,预警,1#炉氧含量异常（高）
2025-05-25 04:56:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:02:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:04:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:06:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:08:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:10:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:12:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:12:00,2,预警,2#炉氧含量异常（高）
2025-05-25 05:14:00,2,预警,2#炉氧含量异常（高）
2025-05-25 05:14:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:16:00,2,预警,2#炉氧含量异常（高）
2025-05-25 05:18:00,2,预警,2#炉氧含量异常（高）
2025-05-25 05:20:00,2,预警,2#炉氧含量异常（高）
2025-05-25 05:22:00,2,预警,2#炉氧含量异常（高）
2025-05-25 05:24:00,2,预警,2#炉氧含量异常（高）
2025-05-25 05:24:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:26:00,2,预警,2#炉氧含量异常（高）
2025-05-25 05:26:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:28:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:28:00,2,预警,2#炉氧含量异常（高）
2025-05-25 05:30:00,2,预警,2#炉氧含量异常（高）
2025-05-25 05:36:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:42:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:44:00,1,预警,1#炉氧含量异常（高）
2025-05-25 05:58:00,2,预警,2#炉氧含量异常（低）
2025-05-25 06:00:00,2,预警,2#炉氧含量异常（低）
2025-05-25 06:02:00,2,预警,2#炉氧含量异常（高）
2025-05-25 06:40:00,1,预警,1#炉氧含量异常（高）
2025-05-25 06:40:00,2,预警,2#炉氧含量异常（高）
2025-05-25 06:42:00,1,预警,1#炉氧含量异常（高）
2025-05-25 06:44:00,1,预警,1#炉氧含量异常（高）
2025-05-25 06:44:00,2,预警,2#炉氧含量异常（高）
2025-05-25 06:48:00,1,预警,1#炉氧含量异常（高）
2025-05-25 06:48:00,2,预警,2#炉氧含量异常（高）
2025-05-25 06:50:00,1,预警,1#炉氧含量异常（高）
2025-05-25 06:50:00,2,预警,2#炉氧含量异常（高）
2025-05-25 06:52:00,1,预警,1#炉氧含量异常（高）
2025-05-25 06:52:00,2,预警,2#炉氧含量异常（高）
2025-05-25 06:54:00,1,预警,1#炉氧含量异常（高）
2025-05-25 06:54:00,2,预警,2#炉氧含量异常（高）
2025-05-25 06:56:00,1,预警,1#炉氧含量异常（高）
2025-05-25 06:58:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:00:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:00:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:02:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:04:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:06:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:08:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:10:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:12:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:14:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:16:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:18:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:20:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:22:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:24:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:26:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:28:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:30:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:30:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:32:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:34:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:36:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:38:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:40:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:42:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:44:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:44:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:46:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:48:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:48:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:50:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:50:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:52:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:54:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:54:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:56:00,1,预警,1#炉氧含量异常（高）
2025-05-25 07:56:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:58:00,2,预警,2#炉氧含量异常（高）
2025-05-25 07:58:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:00:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:00:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:02:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:02:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:04:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:06:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:06:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:08:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:08:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:10:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:10:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:12:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:14:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:16:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:18:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:18:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:20:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:20:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:22:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:24:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:26:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:26:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:28:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:30:00,2,预警,2#炉氧含量异常（高）
2025-05-25 08:30:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:38:00,1,预警,1#炉氧含量异常（高）
2025-05-25 08:44:00,1,预警,1#炉氧含量异常（高）
