时间,炉号,预警/报警类型,预警/报警事件
2025-05-23 00:00:00,2,预警,布袋除尘器压力损失偏低
2025-05-23 00:00:00,3,预警,焚烧炉出口氧含量偏高
2025-05-23 00:00:00,2,预警,焚烧炉出口氧含量偏高
2025-05-23 00:00:00,1,预警,焚烧炉出口氧含量偏高
2025-05-23 00:00:00,2,预警,烟气中一氧化碳（CO）浓度较高
2025-05-23 00:00:00,3,预警,布袋除尘器压力损失偏高
2025-05-23 00:00:00,1,预警,布袋除尘器压力损失偏低
2025-05-23 00:00:00,2,预警,烟气中二氧化硫（SO₂）浓度较高
2025-05-23 00:02:00,2,预警,焚烧炉出口氧含量偏高
2025-05-23 00:02:00,1,预警,焚烧炉出口氧含量偏高
2025-05-23 00:02:00,1,预警,布袋除尘器压力损失偏低
2025-05-23 00:02:00,3,预警,布袋除尘器压力损失偏高
2025-05-23 00:02:00,2,预警,布袋除尘器压力损失偏低
2025-05-23 00:02:00,3,预警,焚烧炉出口氧含量偏高
2025-05-23 00:04:00,1,预警,焚烧炉出口氧含量偏高
2025-05-23 00:04:00,3,预警,布袋除尘器压力损失偏高
2025-05-23 00:04:00,2,预警,焚烧炉出口氧含量偏高
2025-05-23 00:04:00,1,预警,布袋除尘器压力损失偏低
2025-05-23 00:04:00,3,预警,焚烧炉出口氧含量偏高
2025-05-23 00:04:00,2,预警,布袋除尘器压力损失偏低
2025-05-23 00:06:00,3,预警,焚烧炉出口氧含量偏高
2025-05-23 00:06:00,1,预警,布袋除尘器压力损失偏低
2025-05-23 00:06:00,1,预警,焚烧炉出口氧含量偏高
2025-05-23 00:06:00,3,预警,布袋除尘器压力损失偏高
2025-05-23 00:06:00,2,预警,焚烧炉出口氧含量偏高
2025-05-23 00:06:00,2,预警,布袋除尘器压力损失偏低
2025-05-23 00:08:00,1,预警,焚烧炉出口氧含量偏高
2025-05-23 00:08:00,1,预警,布袋除尘器压力损失偏低
2025-05-23 00:08:00,3,预警,布袋除尘器压力损失偏高
2025-05-23 00:08:00,2,预警,布袋除尘器压力损失偏低
2025-05-23 00:08:00,2,预警,焚烧炉出口氧含量偏高
2025-05-23 00:08:00,3,预警,焚烧炉出口氧含量偏高
2025-05-23 00:10:00,2,预警,布袋除尘器压力损失偏低
2025-05-23 00:10:00,1,预警,布袋除尘器压力损失偏低
2025-05-23 00:10:00,2,预警,焚烧炉出口氧含量偏高
2025-05-23 00:10:00,3,预警,布袋除尘器压力损失偏高
2025-05-23 00:10:00,1,预警,焚烧炉出口氧含量偏高
2025-05-23 00:10:00,3,预警,焚烧炉出口氧含量偏高
2025-05-23 00:12:00,1,预警,布袋除尘器压力损失偏低
2025-05-23 00:12:00,2,预警,焚烧炉出口氧含量偏高
2025-05-23 00:12:00,3,预警,布袋除尘器压力损失偏高
2025-05-23 00:12:00,2,预警,布袋除尘器压力损失偏低
2025-05-23 00:12:00,1,预警,焚烧炉出口氧含量偏高
2025-05-23 00:12:00,3,预警,焚烧炉出口氧含量偏高
2025-05-23 00:14:00,1,预警,布袋除尘器压力损失偏低
2025-05-23 00:14:00,1,预警,焚烧炉出口氧含量偏高
2025-05-23 00:14:00,3,预警,焚烧炉出口氧含量偏高
2025-05-23 00:14:00,2,预警,焚烧炉出口氧含量偏高
